NewHouseID,ServiceCentre,Region,Weather
CFHA-Proxy-1000,Valcartier,QUEBEC,QUEBEC
CFHA-Portfolio-1001,Schumacher,ONTARIO,TIMMINS
CFHA-Portfolio-1002,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1003,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1004,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1005,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1006,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1007,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1008,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1009,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1010,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1011,North Bay,ONTARIO,North Bay
CFHA-Portfolio-1012,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1013,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1014,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1015,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1016,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1017,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1018,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1019,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1020,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1021,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1022,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1023,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1024,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1025,Borden,ONTARIO,TORONTO
CFHA-Portfolio-1026,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1027,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1028,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1029,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1030,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1031,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1032,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1033,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1034,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1035,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1036,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1037,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1038,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1039,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1040,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1041,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1042,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1043,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1044,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1045,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1046,Wainwright,ALBERTA,EDMONTON
CFHA-Portfolio-1047,Wainwright,ALBERTA,EDMONTON
CFHA-Portfolio-1048,Wainwright,ALBERTA,EDMONTON
CFHA-Portfolio-1049,Wainwright,ALBERTA,EDMONTON
CFHA-Portfolio-1050,Wainwright,ALBERTA,EDMONTON
CFHA-Portfolio-1051,Wainwright,ALBERTA,EDMONTON
CFHA-Portfolio-1052,Comox,BRITISH COLUMBIA,COMOX
CFHA-Portfolio-1053,Comox,BRITISH COLUMBIA,COMOX
CFHA-Portfolio-1054,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1055,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1056,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1057,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1058,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1059,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1060,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1061,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1062,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1063,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1064,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1065,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1066,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1067,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1068,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1069,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1070,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1071,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1072,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1073,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1074,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1075,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1076,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1077,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1078,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1079,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1080,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1081,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1082,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1083,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1084,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1085,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1086,Petawawa,ONTARIO,OTTAWA
CFHA-Portfolio-1087,Moose Jaw,SASKATCHEWAN,MOOSEJAW
CFHA-Portfolio-1088,Moose Jaw,SASKATCHEWAN,MOOSEJAW
CFHA-Portfolio-1089,Moose Jaw,SASKATCHEWAN,MOOSEJAW
CFHA-Portfolio-1090,Moose Jaw,SASKATCHEWAN,MOOSEJAW
CFHA-Portfolio-1091,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1092,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1093,Cold Lake,ALBERTA,Cold Lake
CFHA-Portfolio-1094,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1095,Suffield,ALBERTA,SUFFIELD
CFHA-Proxy-1096,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1097,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1098,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1099,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1100,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1101,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1102,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1103,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1104,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1105,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1106,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Portfolio-1107,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Portfolio-1108,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Portfolio-1109,Greenwood,NOVA SCOTIA,GREENWOOD
CFHA-Proxy-1110,Trenton,ONTARIO,TRENTON
CFHA-Proxy-1111,Cold Lake,ALBERTA,Cold Lake
CFHA-Proxy-1112,Goose Bay,NEWFOUNDLAND AND LABRADOR,GOOSEBAY
CFHA-Proxy-1113,Goose Bay,NEWFOUNDLAND AND LABRADOR,GOOSEBAY
CFHA-Proxy-1114,Montreal,QUEBEC,MONTREAL
CFHA-Proxy-1115,Goose Bay,NEWFOUNDLAND AND LABRADOR,GOOSEBAY
CFHA-Proxy-1116,Edmonton,ALBERTA,EDMONTON
CFHA-Proxy-1117,Petawawa,ONTARIO,OTTAWA
CFHA-Proxy-1118,Goose Bay,NEWFOUNDLAND AND LABRADOR,GOOSEBAY
CFHA-Proxy-1119,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1120,Gagetown,NEW BRUNSWICK,FREDERICTON
CFHA-Proxy-1121,Gander,NEWFOUNDLAND AND LABRADOR,GANDER
CFHA-Proxy-1122,Trenton,ONTARIO,TRENTON
CFHA-Portfolio-1123,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1124,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1125,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1126,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1127,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1128,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1129,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1130,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1131,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1132,Ottawa,ONTARIO,OTTAWA
CFHA-Portfolio-1133,Ottawa,ONTARIO,OTTAWA
