Site,Proxy-Site,Status,Load-Low,Load-High,,,,
Comox,Comox,old-2s,8797.653959,13196.48094,,,,
Esquimalt,Victoria,old-2s,8797.653959,13196.48094,,,,
Vancouver,Vancouver,old-2s,8797.653959,13196.48094,,,,
Borden,Toronto,old-2s,13489.73607,19941.34897,,,,
Gagetown,FREDERICTON,old-2s,13489.73607,19941.34897,,,,
Greenwood,Greenwood,old-2s,13489.73607,19941.34897,,,,
Halifax,Halifax,old-2s,13489.73607,19941.34897,,,,
Kingston,Kingston,old-2s,13489.73607,19941.34897,,,,
Moncton,Moncton,old-2s,13489.73607,19941.34897,,,,
Montreal,Montreal,old-2s,13489.73607,19941.34897,,,,
North Bay,NORTHBAY,old-2s,13489.73607,19941.34897,,,,
Ottawa,Ottawa,old-2s,13489.73607,19941.34897,,,,
Petawawa,Ottawa,old-2s,13489.73607,19941.34897,,,,
Suffield,Suffield,old-2s,13489.73607,19941.34897,,,,
Toronto,Toronto,old-2s,13489.73607,19941.34897,,,,
Trenton,Trenton,old-2s,13489.73607,19941.34897,,,,
Bagotville,Bagotville,old-2s,18181.81818,26392.96188,,,,
Cold Lake,COLDLAKE,old-2s,18181.81818,26392.96188,,,,
Dundurn,SASKATOON,old-2s,18181.81818,26392.96188,,,,
Edmonton,Edmonton,old-2s,18181.81818,26392.96188,,,,
Gander,Gander,old-2s,18181.81818,26392.96188,,,,
Moose Jaw,moosejaw,old-2s,18181.81818,26392.96188,,,,
Shilo,brandon,old-2s,18181.81818,26392.96188,,,,
Valcartier,Quebec,old-2s,18181.81818,26392.96188,,,,
Wainwright,EDMONTON,old-2s,18181.81818,26392.96188,,,,
Winnipeg,Winnipeg,old-2s,18181.81818,26392.96188,,,,
Goose Bay,goosebay,old-2s,21407.62463,31671.55425,,,,
Comox,Comox,old-1s,9384.164223,13196.48094,,,,
Esquimalt,Victoria,old-1s,9384.164223,13196.48094,,,,
Vancouver,Vancouver,old-1s,9384.164223,13196.48094,,,,
Borden,Toronto,old-1s,13782.9912,19648.09384,,,,
Gagetown,FREDERICTON,old-1s,13782.9912,19648.09384,,,,
Greenwood,Greenwood,old-1s,13782.9912,19648.09384,,,,
Halifax,Halifax,old-1s,13782.9912,19648.09384,,,,
Kingston,Kingston,old-1s,13782.9912,19648.09384,,,,
Moncton,Moncton,old-1s,13782.9912,19648.09384,,,,
Montreal,Montreal,old-1s,13782.9912,19648.09384,,,,
North Bay,NORTHBAY,old-1s,13782.9912,19648.09384,,,,
Ottawa,Ottawa,old-1s,13782.9912,19648.09384,,,,
Petawawa,Ottawa,old-1s,13782.9912,19648.09384,,,,
Suffield,Suffield,old-1s,13782.9912,19648.09384,,,,
Toronto,Toronto,old-1s,13782.9912,19648.09384,,,,
Trenton,Trenton,old-1s,13782.9912,19648.09384,,,,
Bagotville,Bagotville,old-1s,17888.56305,25513.19648,,,,
Cold Lake,COLDLAKE,old-1s,17888.56305,25513.19648,,,,
Dundurn,SASKATOON,old-1s,17888.56305,25513.19648,,,,
Edmonton,Edmonton,old-1s,17888.56305,25513.19648,,,,
Gander,Gander,old-1s,17888.56305,25513.19648,,,,
Moose Jaw,moosejaw,old-1s,17888.56305,25513.19648,,,,
Shilo,brandon,old-1s,17888.56305,25513.19648,,,,
Valcartier,Quebec,old-1s,17888.56305,25513.19648,,,,
Wainwright,EDMONTON,old-1s,17888.56305,25513.19648,,,,
Winnipeg,Winnipeg,old-1s,17888.56305,25513.19648,,,,
Goose Bay,goosebay,old-1s,21114.3695,29912.02346,,,,
