SCName,CZ,Region,DesignTemp,hlDeltaT,HDD,RC.Count,RC.MeanACH,RC.LowACH,RC.HighACH,OG.Count,OG.MeanACH,OG.LowACH,OG.HighACH,VolMean,VolMax,VolMin,OG.hlWattPerM3.mean,OG.hlWattPerM3.low,OG.hlWattPerM3.high,RC.hlWattPerM3.mean,RC.hlWattPerM3.low,RC.hlWattPerM3.high,RC.tgtACH,RC.WstACH,new_low_wpm3,new_low_w,new_high_wpm3,new_high_w,OG.HLwatts.low,OG.HLwatts.mean,OG.HLwatts.high,RC.HLwatts.low,RC.HLwatts.mean,RC.HLwatts.high
Schumacher,Zone 7a,ONTARIO,-34,52,5940,1,6.7,4.174,11.226,0,7.3,6,12.515,381.41135734072,527.8,282.5,38.0255891863971,34.8517438373703,50.7575918749928,32.7085209717446,27.089734174107,42.7760700794673,1.9,13,22.0314914275402,6223.8963282801,51.9416803321298,27414.8188792981,9845.61763405712,17404.0699023172,26789.8569916212,7652.84990418523,11227.8612423965,22577.2097879428
North Bay,Zone 7a,ONTARIO,-28,46,5150,10,6.7,4.174,11.226,0,7.3,6,12.515,381.41135734072,527.8,282.5,34.1985101774007,31.4117110417051,45.3778620948259,29.3664533414398,23.0613348376289,40.6637480161224,1.9,13,17.3852305313478,4911.32762510574,46.4175525416047,24499.1842314589,8873.80836928169,15652.4402229514,23950.4356136491,6514.82709163016,10080.6289463173,21462.3262029094
Borden,Zone 5,ONTARIO,-20,38,3520,14,6.7,4.174,11.226,0,7.3,6,12.515,381.41135734072,527.8,282.5,29.0957381654056,26.8250006474848,38.2048890546033,24.9103631677001,17.6901357223247,37.8473185983293,1.9,13,11.1902160030912,3161.23602087326,39.0520488209045,20611.6713676734,7578.06268291444,13316.933983797,20164.5404430196,4997.46334155672,8550.9858848785,19975.8147561982
Cold Lake,Zone 7a,ALBERTA,-35,53,5860,23,6.7,2.86,8.676,8,7.37,3.146,9.5436,381.41135734072,527.8,282.5,38.8378085445022,28.3156521687529,44.2523348461898,33.2655322434621,24.8978010435502,37.57142725675,1.9,13,22.8058682435723,6442.65777880916,52.8623682972173,27900.7579872713,7999.17173767269,17775.8175277171,23356.382331819,7033.62879480294,11419.0666250763,19830.1993061127
Wainwright,Zone 7a,ALBERTA,-30,48,5120,6,6.7,2.86,8.676,0,7.37,3.146,9.5436,381.41135734072,527.8,282.5,35.6312085787147,26.1570542575235,40.5064504898277,30.4804758848747,21.2432825077045,35.2337816435436,1.9,13,18.9339841634119,5348.85052616386,48.2589284717797,25471.0624474053,7389.36782775039,16308.1771532375,21379.304568531,6001.22730842652,10463.039711677,18596.3899514623
Comox,Zone 5,BRITISH COLUMBIA,-7,25,3100,3,6.1,4.076,8.604,2,9.05,6,12.744,381.41135734072,527.8,282.5,22.731610900386,19.3715962568767,26.8010843735411,15.6009792302857,8.62412505045774,24.2324233341836,3.5,13,6.63861714157387,1875.40934249462,27.0831052747668,14294.4629640219,5472.47594256767,10404.1134816688,14145.612332355,2436.31532675431,5355.3515976609,12789.8730357821
Ottawa,Zone 6,ONTARIO,-25,43,4500,21,6.7,4.174,11.226,0,7.3,6,12.515,381.41135734072,527.8,282.5,32.2849706729025,29.6916946438725,42.6879972047424,27.6954195262874,21.0471351693898,39.60758698445,1.9,13,15.0621000832516,4255.04327351856,43.6554886463421,23041.3669075394,8387.90373689397,14776.6253832685,22530.724924663,5945.81568535262,9507.01279827777,20904.8844103927
Petawawa,Zone 6,ONTARIO,-25,43,4500,29,6.7,4.174,11.226,38,7.3,6,12.515,381.41135734072,527.8,282.5,32.2849706729025,29.6916946438725,42.6879972047424,27.6954195262874,21.0471351693898,39.60758698445,1.9,13,15.0621000832516,4255.04327351856,43.6554886463421,23041.3669075394,8387.90373689397,14776.6253832685,22530.724924663,5945.81568535262,9507.01279827777,20904.8844103927
Moose Jaw,Zone 7a,SASKATCHEWAN,-32,50,5270,0,5.45454545454545,5.45454545454545,10.2636363636364,4,6,6,11.29,381.41135734072,527.8,282.5,33.7050662388153,33.7050662388153,46.0951819363878,28.7113332641085,28.7113332641085,39.8441388981407,1.9,13,20.4827377954761,5786.37342722198,50.1003044019547,26442.9406633517,9521.68121246531,15426.5940760865,24329.0370260255,8110.95164711066,9855.74573219286,21029.7365104386
Gagetown,Zone 6,NEW BRUNSWICK,-24,42,4670,31,4.3,3.23,6.49,23,6,6,11.09,381.41135734072,527.8,282.5,29.1183558445949,29.1183558445949,39.0194564472517,20.7130657608947,17.8484338991312,26.5761907863734,1.9,13,14.2877232672195,4036.2818229895,42.7348006812546,22555.4277995662,8225.93552609807,13327.2859514605,20594.4691128595,5042.18257650456,7110.17867389541,14026.9134970479
Greenwood,Zone 6,NOVA SCOTIA,-20,38,4140,6,4.25,2.185,5.483,5,8.6,6,14.656,381.41135734072,527.8,282.5,31.3664756833264,26.8250006474848,41.9446190745021,17.9073713857643,12.0048497409899,21.4317341886732,1.9,13,11.1902160030912,3161.23602087326,39.0520488209045,20611.6713676734,7578.06268291444,14356.2360784466,22138.3699475222,3391.37005182963,6147.06734398387,11311.6693047817
Halifax,Zone 6,NOVA SCOTIA,-16,34,4000,12,4.25,2.185,5.483,4,8.6,6,14.656,381.41135734072,527.8,282.5,28.5570588684414,24.5316454503746,37.933175660677,15.2355383125855,8.95896679363628,18.9832442122776,1.9,13,8.09270873896291,2286.19021875702,35.3692969605544,18667.9149357806,6930.18983973082,13070.3839016053,20021.1301137053,2530.90811920225,5229.90661285779,10019.3562952401
Shilo,Zone 7a,MANITOBA,-33,51,5760,23,6.6,1.998,8.256,1,7.26,2.1978,9.0816,381.41135734072,527.8,282.5,37.2920707573037,25.1843099606454,41.6489703399343,31.924543135683,21.4795418445654,35.683109441222,1.9,13,21.2571146115081,6005.13487775105,51.0209923670422,26928.8797713249,7114.56756388233,17068.3431907073,21982.3265454173,6067.97057108972,10958.7449968769,18833.545163077
Valcartier,Zone 7a,QUEBEC,-25,43,5080,0,5.45454545454545,5.45454545454545,8.19909090909091,17,6,6,9.019,381.41135734072,527.8,282.5,29.6916946438725,29.6916946438725,35.7140795143662,24.4174559586815,24.4174559586815,31.6409391780992,1.9,13,15.0621000832516,4255.04327351856,43.6554886463421,23041.3669075394,8387.90373689397,13589.6994670387,18849.8911676825,6897.93130832753,8381.78551800718,16700.0876982007
Yellowknife,Zone 8,NORTHWEST TERRITORIES,-41,59,8170,0,8.18181818181818,8.18181818181818,15.3954545454545,3,9,9,16.935,381.41135734072,527.8,282.5,47.2314214274971,47.2314214274971,69.3603007847587,39.4340046647561,39.4340046647561,53.1932206257991,1.9,13,27.4521291397647,7755.22648198353,58.3864960877424,30816.3926351104,13342.8765532679,21617.5206669519,36608.3667541956,11140.1063177936,13536.5195201084,28075.3818462968
Suffield,Zone 6,ALBERTA,-31,49,4770,1,6.7,2.86,8.676,4,7.37,3.146,9.5436,381.41135734072,527.8,282.5,36.2725285718722,26.5887738397694,41.2556273611001,31.0374871565922,21.9741862148736,35.7013107661849,1.9,13,19.708360979444,5567.61197669293,49.1796164368672,25957.0015553785,7511.32860973485,16601.7052281334,21774.7201211886,6207.7076057018,10654.2450943569,18843.1518223924
Edmonton,Zone 7a,ALBERTA,-30,48,5120,3,6.7,2.86,8.676,11,7.37,3.146,9.5436,381.41135734072,527.8,282.5,35.6312085787147,26.1570542575235,40.5064504898277,30.4804758848747,21.2432825077045,35.2337816435436,1.9,13,18.9339841634119,5348.85052616386,48.2589284717797,25471.0624474053,7389.36782775039,16308.1771532375,21379.304568531,6001.22730842652,10463.039711677,18596.3899514623
