analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,configuration|version,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-DWHR,cost-estimates|byAttribute|Opt-AboveGradeWall,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-VentSystem,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AboveGradeWall,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHR,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-H2K-PV,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-VentSystem,input|Opt-WindowDistribution,input|Opt-Windows,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AnnDHWLoad-GJ,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|EnvAGBsemntHL-GJ,output|EnvAirLkVntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvCeilHL-GJ,output|EnvCrawlHL-GJ,output|EnvDoorHL-GJ,output|EnvFABsemntHL-GJ,output|EnvFloorHL-GJ,output|EnvPonyWallHL-GJ,output|EnvSlabHL-GJ,output|EnvTotalHL-GJ,output|EnvWallHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|HDDs,output|HotWaterElec-GJ,output|HotWaterGas-GJ,output|HotWaterOil-GJ,output|HotWaterProp-GJ,output|HotWaterWood-GJ,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatOil-GJ,output|SpcHeatProp-GJ,output|SpcHeatWood-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4706.64,0,Details in JSON output,Details in JSON output,true,4706.639999999999,S,Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,vintageElecEF0.92,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,55.1,0.0,0,0.0,16.7,55.1,0,26.3,98.1,0.0,27241.8,0.0,0.0,0.0,0.0,5.5,18.8,11.6,1.5,4.4,0.0,2.7,6.4,0.0,0.0,0.0,90.1,36.9,8.7,90.1,2825,16.7,0.0,0.0,0.0,0.0,1.243,7.64,151.1,1,2562.9,10238.0,0.0,1641.5,55.1,0.0,0.0,0.0,0.0,115.9,0.0,7.9,2121.48,0.0,2121.48,0.0,0.0,0.0,2121.48,0.0,true,1,1,7.6399862999999995,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,55.7,0.0,0,0.0,15.4,55.7,0,26.3,97.4,0.0,27050.4,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.9,0.0,0.0,0.0,89.9,36.9,8.7,89.9,2825,15.4,0.0,0.0,0.0,0.0,1.243,9.24,149.6,1,2562.9,10238.0,0.0,1628.0,55.7,0.0,0.0,0.0,0.0,117.3,0.0,8.0,2108.04,0.0,2108.04,0.0,0.0,0.0,2108.04,0.0,true,1,1,9.242935699999999,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>elec_tankless_ef0.96;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,elec_tankless_ef0.96,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,55.4,0.0,0,0.0,16.0,55.4,0,26.3,97.7,0.0,27137.7,0.0,0.0,0.0,0.0,5.5,18.8,11.6,1.4,4.4,0.0,2.7,6.7,0.0,0.0,0.0,90.0,36.9,8.7,90.0,2825,16.0,0.0,0.0,0.0,0.0,1.243,6.74,150.3,1,2562.9,10238.0,0.0,1634.2,55.4,0.0,0.0,0.0,0.0,116.6,0.0,8.0,2114.17,0.0,2114.17,0.0,0.0,0.0,2114.17,0.0,true,1,1,6.7397819,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6364.469999999999,0,Details in JSON output,Details in JSON output,true,6364.469999999999,S,Opt-DHWSystem=>elec_heatpump_ef2.30;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,elec_heatpump_ef2.30,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,59.4,0.0,0,0.0,7.4,59.4,0,26.3,93.1,0.0,25849.0,0.0,0.0,0.0,0.0,5.2,19.6,10.9,1.4,4.4,0.0,2.7,8.9,0.0,0.0,0.0,89.8,36.9,8.7,89.8,2825,7.4,0.0,0.0,0.0,0.0,1.243,7.17,140.5,1,2562.9,10359.3,0.0,1543.7,59.4,0.0,0.0,0.0,0.0,124.9,0.0,8.3,2023.7,0.0,2023.7,0.0,0.0,0.0,2023.7,0.0,true,1,1,7.1732613,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6364.469999999999,0,Details in JSON output,Details in JSON output,true,6364.469999999999,S,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,HPHotWater,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,59.0,0.0,0,0.0,6.7,59.0,0,26.3,91.9,0.0,25534.3,0.0,0.0,0.0,0.0,5.3,19.6,11.0,1.4,4.4,0.0,2.7,8.6,0.0,0.0,0.0,90.0,36.9,8.7,90.0,2825,6.7,0.0,0.0,0.0,0.0,1.243,6.63,138.1,1,2562.9,10359.3,0.0,1521.6,59.0,0.0,0.0,0.0,0.0,124.1,0.0,8.3,2001.61,0.0,2001.61,0.0,0.0,0.0,2001.61,0.0,true,1,1,6.627653499999999,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,1743.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5789.34,0,Details in JSON output,Details in JSON output,true,5789.34,S,Opt-DHWSystem=>GasInstantaneous;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,GasInstantaneous,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,55.6,0.0,0,0.0,16.2,55.6,0,26.3,98.0,0.0,22733.5,434.3,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.8,0.0,0.0,0.0,89.9,36.9,8.7,89.9,2825,0.0,16.2,0.0,0.0,0.0,1.243,12.63,151.0,1,2562.9,10238.0,0.0,1724.2,55.6,0.0,0.0,0.0,0.0,116.9,0.0,8.0,1804.99,399.24,2204.23,0.0,0.0,0.0,2204.23,0.0,true,1,1,12.6324268,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-7.choices,HTAP-options.json,General,HTAP-work-6,7,HTAP-sim-7,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,vintageOilEF0.52,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,53.3,0.0,0,0.0,29.6,53.3,0,26.3,109.1,0.0,22099.0,0.0,768.0,0.0,0.0,5.8,18.9,12.3,1.5,4.4,0.0,2.7,3.9,0.0,0.0,0.0,92.6,36.9,10.0,92.6,2825,0.0,0.0,29.6,0.0,0.0,1.215,6.81,174.4,1,2580.5,10362.8,0.0,2182.9,53.3,0.0,0.0,0.0,0.0,112.1,0.0,7.6,1760.45,0.0,2662.91,902.46,0.0,0.0,2662.91,0.0,true,1,1,6.8064958,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-8.choices,HTAP-options.json,General,HTAP-work-7,8,HTAP-sim-8,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,57.0,0.0,0,0.0,15.4,57.0,0,26.3,98.6,0.0,27396.5,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.9,0.0,0.0,0.0,91.3,36.9,10.0,91.3,2825,15.4,0.0,0.0,0.0,0.0,1.215,10.28,152.2,1,2580.5,10362.8,0.0,1652.3,57.0,0.0,0.0,0.0,0.0,119.9,0.0,8.1,2132.33,0.0,2132.33,0.0,0.0,0.0,2132.33,0.0,true,1,1,10.2781661,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-9.choices,HTAP-options.json,General,HTAP-work-8,9,HTAP-sim-9,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>elec_tankless_ef0.96;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,elec_tankless_ef0.96,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,56.6,0.0,0,0.0,16.0,56.6,0,26.3,98.9,0.0,27483.1,0.0,0.0,0.0,0.0,5.5,18.8,11.6,1.4,4.4,0.0,2.7,6.6,0.0,0.0,0.0,91.4,36.9,10.0,91.4,2825,16.0,0.0,0.0,0.0,0.0,1.215,7.17,152.9,1,2580.5,10362.8,0.0,1658.4,56.6,0.0,0.0,0.0,0.0,119.2,0.0,8.0,2138.42,0.0,2138.42,0.0,0.0,0.0,2138.42,0.0,true,1,1,7.1654221,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-10.choices,HTAP-options.json,General,HTAP-work-9,10,HTAP-sim-10,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4170.0,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6488.219999999999,0,Details in JSON output,Details in JSON output,true,6488.219999999999,S,Opt-DHWSystem=>elec_heatpump_ef2.30;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,elec_heatpump_ef2.30,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,60.6,0.0,0,0.0,7.4,60.6,0,26.3,94.3,0.0,26198.7,0.0,0.0,0.0,0.0,5.3,19.6,11.0,1.4,4.4,0.0,2.7,8.9,0.0,0.0,0.0,91.2,36.9,10.0,91.2,2825,7.4,0.0,0.0,0.0,0.0,1.215,12.6,143.2,1,2580.5,10484.1,0.0,1568.3,60.6,0.0,0.0,0.0,0.0,127.6,0.0,8.4,2048.26,0.0,2048.26,0.0,0.0,0.0,2048.26,0.0,true,1,1,12.6019404,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
