analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,configuration|version,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-DWHR,cost-estimates|byAttribute|Opt-AboveGradeWall,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-VentSystem,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AboveGradeWall,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHR,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-H2K-PV,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-VentSystem,input|Opt-WindowDistribution,input|Opt-Windows,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AnnDHWLoad-GJ,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|EnvAGBsemntHL-GJ,output|EnvAirLkVntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvCeilHL-GJ,output|EnvCrawlHL-GJ,output|EnvDoorHL-GJ,output|EnvFABsemntHL-GJ,output|EnvFloorHL-GJ,output|EnvPonyWallHL-GJ,output|EnvSlabHL-GJ,output|EnvTotalHL-GJ,output|EnvWallHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|HDDs,output|HotWaterElec-GJ,output|HotWaterGas-GJ,output|HotWaterOil-GJ,output|HotWaterProp-GJ,output|HotWaterWood-GJ,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatHP-GJ,output|SpcHeatOil-GJ,output|SpcHeatProp-GJ,output|SpcHeatWood-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,55.7,0.0,0,0.0,15.4,55.7,0,26.3,97.4,0.0,27050.4,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.9,0.0,0.0,0.0,89.9,36.9,8.7,89.9,2825,15.4,0.0,0.0,0.0,0.0,1.243,13.12,149.6,1,2562.9,10238.0,0.0,1628.0,55.7,0.0,0.0,0.0,0.0,0.0,117.3,0.0,8.0,2108.04,0.0,2108.04,0.0,0.0,0.0,2108.04,0.0,true,1,1,13.1170407,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0,Details in JSON output,Details in JSON output,true,17722.09,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,55.7,2.0,0,0.7,15.4,17.8,0,26.3,60.3,0.0,16747.5,0.0,0.0,0.0,0.0,5.5,18.8,11.4,1.4,4.4,0.0,2.7,6.7,0.0,0.0,0.0,89.8,36.9,8.7,89.8,2825,15.4,0.0,0.0,0.0,0.0,1.243,7.46,71.4,1,2562.9,10288.3,0.0,904.8,17.8,0.0,14.8,0.0,0.0,0.0,117.1,1.7,8.0,1384.78,0.0,1384.78,0.0,0.0,0.0,1384.78,0.0,true,1,1,7.456764,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6364.469999999999,0,Details in JSON output,Details in JSON output,true,6364.469999999999,S,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,HPHotWater,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,59.0,0.0,0,0.0,6.7,59.0,0,26.3,91.9,0.0,25534.3,0.0,0.0,0.0,0.0,5.3,19.6,11.0,1.4,4.4,0.0,2.7,8.6,0.0,0.0,0.0,90.0,36.9,8.7,90.0,2825,6.7,0.0,0.0,0.0,0.0,1.243,12.27,138.1,1,2562.9,10359.3,0.0,1521.6,59.0,0.0,0.0,0.0,0.0,0.0,124.1,0.0,8.3,2001.61,0.0,2001.61,0.0,0.0,0.0,2001.61,0.0,true,1,1,12.274703,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.3,0.3,0,0,0.3,0,0,0.3,0.631,0.633,0,0,0.635,0,0,0.631,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20040.31,0,Details in JSON output,Details in JSON output,true,20040.31,S,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>CCASHP;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,HPHotWater,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,VANCOUVER,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,58.9,2.0,0,0.7,6.7,19.0,0,26.3,52.7,0.0,14652.5,0.0,0.0,0.0,0.0,5.3,19.6,11.0,1.4,4.4,0.0,2.7,8.4,0.0,0.0,0.0,89.9,36.9,8.7,89.9,2825,6.7,0.0,0.0,0.0,0.0,1.243,8.26,55.5,1,2562.9,10409.7,0.0,757.7,19.0,0.0,15.5,0.0,0.0,0.0,123.9,1.7,8.3,1237.71,0.0,1237.71,0.0,0.0,0.0,1237.71,0.0,true,1,1,8.2576657,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,57.0,0.0,0,0.0,15.4,57.0,0,26.3,98.6,0.0,27396.5,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.9,0.0,0.0,0.0,91.3,36.9,10.0,91.3,2825,15.4,0.0,0.0,0.0,0.0,1.215,5.93,152.2,1,2580.5,10362.8,0.0,1652.3,57.0,0.0,0.0,0.0,0.0,0.0,119.9,0.0,8.1,2132.33,0.0,2132.33,0.0,0.0,0.0,2132.33,0.0,true,1,1,5.931034899999999,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0,Details in JSON output,Details in JSON output,true,17722.09,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,56.9,2.0,0,0.7,15.4,18.3,0,26.3,60.7,0.0,16870.5,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.7,0.0,0.0,0.0,91.2,36.9,10.0,91.2,2825,15.4,0.0,0.0,0.0,0.0,1.215,15.35,72.3,1,2580.5,10413.1,0.0,913.4,18.3,0.0,15.1,0.0,0.0,0.0,119.7,1.6,8.1,1393.41,0.0,1393.41,0.0,0.0,0.0,1393.41,0.0,true,1,1,15.348234900000001,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-7.choices,HTAP-options.json,General,HTAP-work-6,7,HTAP-sim-7,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4170.0,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6488.219999999999,0,Details in JSON output,Details in JSON output,true,6488.219999999999,S,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,HPHotWater,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,60.2,0.0,0,0.0,6.7,60.2,0,26.3,93.2,0.0,25883.4,0.0,0.0,0.0,0.0,5.3,19.6,11.0,1.4,4.4,0.0,2.7,8.6,0.0,0.0,0.0,91.3,36.9,10.0,91.3,2825,6.7,0.0,0.0,0.0,0.0,1.215,11.04,140.8,1,2580.5,10484.1,0.0,1546.1,60.2,0.0,0.0,0.0,0.0,0.0,126.8,0.0,8.3,2026.12,0.0,2026.12,0.0,0.0,0.0,2026.12,0.0,true,1,1,11.0430987,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-8.choices,HTAP-options.json,General,HTAP-work-7,8,HTAP-sim-8,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0.0,2318.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20040.31,0,Details in JSON output,Details in JSON output,true,20040.31,S,Opt-DHWSystem=>HPHotWater;Opt-Heating-Cooling=>CCASHP;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,HPHotWater,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,VANCOUVER,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,60.1,2.0,0,0.7,6.7,19.4,0,26.3,53.2,0.0,14771.7,0.0,0.0,0.0,0.0,5.3,19.6,11.0,1.4,4.4,0.0,2.7,8.3,0.0,0.0,0.0,91.2,36.9,10.0,91.2,2825,6.7,0.0,0.0,0.0,0.0,1.215,6.25,56.4,1,2580.5,10534.5,0.0,766.1,19.4,0.0,15.8,0.0,0.0,0.0,126.6,1.6,8.3,1246.08,0.0,1246.08,0.0,0.0,0.0,1246.08,0.0,true,1,1,6.2465361,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-9.choices,HTAP-options.json,General,HTAP-work-8,9,HTAP-sim-9,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4046.25,0,Details in JSON output,Details in JSON output,true,4046.25,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>NBC-elec-heat;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,VANCOUVER,General,ArchetypeRoadmapping_gas,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,57.0,0.0,0,0.0,15.4,57.0,0,26.3,98.6,0.0,27396.5,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.9,0.0,0.0,0.0,91.3,36.9,10.0,91.3,2825,15.4,0.0,0.0,0.0,0.0,1.215,16.47,152.2,1,2580.5,10362.8,0.0,1652.3,57.0,0.0,0.0,0.0,0.0,0.0,119.9,0.0,8.1,2132.33,0.0,2132.33,0.0,0.0,0.0,2132.33,0.0,true,1,1,16.4706353,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,58.17,62.1,0,3.366,0.0,0,14.387,233.818,0,0,145.7,8.264,OTTAWA,ONTARIO,Attic/gable,132.0,S,,Two,SingleDetached,456.8,VANCOUVER,1.7,2.1,0,0,2.7,0,0,1.7,0.26,0.26,0,0,0.26,0,0,0.26,0.632,0.633,0,0,0.635,0,0,0.632,Zone 4,,Natural gas,roadmapping-pre-1946.h2k,sim-10.choices,HTAP-options.json,General,HTAP-work-9,10,HTAP-sim-10,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17722.09,0,Details in JSON output,Details in JSON output,true,17722.09,S,Opt-DHWSystem=>ElecIDEAL;Opt-Heating-Cooling=>CCASHP;,true,ACH_10,Generic_Wall_R-07-eff,NA,NBC-Baseloads,NA,CeilR20,H2KCodeLibFile,ElecIDEAL,NA,NA,NA,VintageR3,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,VANCOUVER,General,ArchetypeRoadmapping_gas,NA,NA,NA,NA,NA,dbl-clear-u3.85,,,VANCOUVER,BRITISH COLUMBIA,{},15.4,56.9,2.0,0,0.7,15.4,18.3,0,26.3,60.7,0.0,16870.5,0.0,0.0,0.0,0.0,5.5,18.8,11.5,1.4,4.4,0.0,2.7,6.7,0.0,0.0,0.0,91.2,36.9,10.0,91.2,2825,15.4,0.0,0.0,0.0,0.0,1.215,6.78,72.3,1,2580.5,10413.1,0.0,913.4,18.3,0.0,15.1,0.0,0.0,0.0,119.7,1.6,8.1,1393.41,0.0,1393.41,0.0,0.0,0.0,1393.41,0.0,true,1,1,6.779271,f1e81679d73e423062fa2b3ea1784fee,f1e81679d73e423062fa2b3ea1784fee,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
