archetype,Orientation,Window,output|Energy-CoolingGJ,output|PEAK-Cooling-W,Simulation Tool
pro-A-EW,EW,base-window,2.6,4445.4,H2K
pro-A-EW,EW,NC-2g-HG-u1.82,3.8,6303.5,H2K
pro-A-EW,EW,NC-2g-MG-u1.65,2.5,4276.4,H2K
pro-A-EW,EW,NC-3g-MG-u1.36,2.5,4220.5,H2K
pro-A-EW,EW,NC-3g-LG-u1.14,2,3430.2,H2K
pro-A-EW,EW,NC-3g-MG-u1.08,2.5,4166.5,H2K
pro-B-EW,EW,base-window,2.3,3502.4,H2K
pro-B-EW,EW,NC-2g-HG-u1.82,3,4683.8,H2K
pro-B-EW,EW,NC-2g-MG-u1.65,2.2,3396.5,H2K
pro-B-EW,EW,NC-3g-MG-u1.36,2.2,3359.2,H2K
pro-B-EW,EW,NC-3g-LG-u1.14,1.9,2856.3,H2K
pro-B-EW,EW,NC-3g-MG-u1.08,2.2,3323.1,H2K
pro-C-EW,EW,base-window,3,5775.6,H2K
pro-C-EW,EW,NC-2g-HG-u1.82,4.8,8581.5,H2K
pro-C-EW,EW,NC-2g-MG-u1.65,2.8,5518.7,H2K
pro-C-EW,EW,NC-3g-MG-u1.36,2.7,5434.3,H2K
pro-C-EW,EW,NC-3g-LG-u1.14,2.3,4240.2,H2K
pro-C-EW,EW,NC-3g-MG-u1.08,2.7,5352.8,H2K
pro-D-EW,EW,base-window,3.2,6760.4,H2K
pro-D-EW,EW,NC-2g-HG-u1.82,5.5,10268.3,H2K
pro-D-EW,EW,NC-2g-MG-u1.65,3.1,6438.4,H2K
pro-D-EW,EW,NC-3g-MG-u1.36,3.1,6332.9,H2K
pro-D-EW,EW,NC-3g-LG-u1.14,2.5,4839.8,H2K
pro-D-EW,EW,NC-3g-MG-u1.08,3,6231,H2K
pro-A-NS,NS,base-window,2.1,3239.6,H2K
pro-A-NS,NS,NC-2g-HG-u1.82,2.7,4163.8,H2K
pro-A-NS,NS,NC-2g-MG-u1.65,2,3163.1,H2K
pro-A-NS,NS,NC-3g-MG-u1.36,2,3107.5,H2K
pro-A-NS,NS,NC-3g-LG-u1.14,1.8,2702.3,H2K
pro-A-NS,NS,NC-3g-MG-u1.08,2,3053.7,H2K
pro-B-NS,NS,base-window,2,2831.7,H2K
pro-B-NS,NS,NC-2g-HG-u1.82,2.4,3492.5,H2K
pro-B-NS,NS,NC-2g-MG-u1.65,1.9,2776.7,H2K
pro-B-NS,NS,NC-3g-MG-u1.36,1.9,2739.5,H2K
pro-B-NS,NS,NC-3g-LG-u1.14,1.7,2451,H2K
pro-B-NS,NS,NC-3g-MG-u1.08,1.9,2703.6,H2K
pro-C-NS,NS,base-window,2.3,3962,H2K
pro-C-NS,NS,NC-2g-HG-u1.82,3.3,5364.8,H2K
pro-C-NS,NS,NC-2g-MG-u1.65,2.3,3845.1,H2K
pro-C-NS,NS,NC-3g-MG-u1.36,2.3,3761.1,H2K
pro-C-NS,NS,NC-3g-LG-u1.14,1.8,3145.9,H2K
pro-C-NS,NS,NC-3g-MG-u1.08,2.2,3679.9,H2K
pro-D-NS,NS,base-window,2.6,4492.5,H2K
pro-D-NS,NS,NC-2g-HG-u1.82,3.8,6246.6,H2K
pro-D-NS,NS,NC-2g-MG-u1.65,2.5,4346,H2K
pro-D-NS,NS,NC-3g-MG-u1.36,2.5,4240.9,H2K
pro-D-NS,NS,NC-3g-LG-u1.14,2,3471.6,H2K
pro-D-NS,NS,NC-3g-MG-u1.08,2.4,4139.5,H2K
ref-A,reference,base-window,2.7,4899.8,H2K
ref-B,reference,base-window,2.7,4899.8,H2K
ref-C,reference,base-window,2.7,5152.3,H2K
ref-D,reference,base-window,3,5802.2,H2K
ref-A,reference,base-window,3235.5,2.3,OS/E+
ref-B,reference,base-window,3235.5,2.3,OS/E+
ref-C,reference,base-window,3657.5,2.6,OS/E+
ref-D,reference,base-window,3938.8,2.8,OS/E+
pro-A-NS,NS,base-window,1934.3,1.2,OS/E+
pro-B-NS,NS,base-window,1582.6,1,OS/E+
pro-C-NS,NS,base-window,2426.6,1.6,OS/E+
pro-D-NS,NS,base-window,2813.5,1.8,OS/E+
pro-A-EW,EW,base-window,3587.2,2.1,OS/E+
pro-B-EW,EW,base-window,3270.6,1.5,OS/E+
pro-C-EW,EW,base-window,5064.2,2.9,OS/E+
pro-D-EW,EW,base-window,6119.3,3.5,OS/E+
pro-A-NS,NS,NC-2g-HG-u1.82,2778.3,2.1,OS/E+
pro-B-NS,NS,NC-2g-HG-u1.82,2074.9,1.6,OS/E+
pro-C-NS,NS,NC-2g-HG-u1.82,3727.8,3,OS/E+
pro-D-NS,NS,NC-2g-HG-u1.82,4396,3.5,OS/E+
pro-A-EW,EW,NC-2g-HG-u1.82,5978.6,3.9,OS/E+
pro-B-EW,EW,NC-2g-HG-u1.82,5415.9,2.7,OS/E+
pro-C-EW,EW,NC-2g-HG-u1.82,8721.7,5.6,OS/E+
pro-D-EW,EW,NC-2g-HG-u1.82,10620.8,6.7,OS/E+
pro-A-NS,NS,NC-2g-MG-u1.65,1934.3,1.2,OS/E+
pro-B-NS,NS,NC-2g-MG-u1.65,1582.6,0.3,OS/E+
pro-C-NS,NS,NC-2g-MG-u1.65,2461.8,1.6,OS/E+
pro-D-NS,NS,NC-2g-MG-u1.65,2813.5,1.9,OS/E+
pro-A-EW,EW,NC-2g-MG-u1.65,3587.2,2.1,OS/E+
pro-B-EW,EW,NC-2g-MG-u1.65,3270.6,1.5,OS/E+
pro-C-EW,EW,NC-2g-MG-u1.65,5099.4,3,OS/E+
pro-D-EW,EW,NC-2g-MG-u1.65,6154.4,3.5,OS/E+
pro-A-NS,NS,NC-3g-MG-u1.36,1969.4,1.3,OS/E+
pro-B-NS,NS,NC-3g-MG-u1.36,1582.6,1.1,OS/E+
pro-C-NS,NS,NC-3g-MG-u1.36,2532.1,1.8,OS/E+
pro-D-NS,NS,NC-3g-MG-u1.36,2919,2.1,OS/E+
pro-A-EW,EW,NC-3g-MG-u1.36,3622.3,2.2,OS/E+
pro-B-EW,EW,NC-3g-MG-u1.36,3305.8,1.6,OS/E+
pro-C-EW,EW,NC-3g-MG-u1.36,5169.7,3.2,OS/E+
pro-D-EW,EW,NC-3g-MG-u1.36,6224.8,3.8,OS/E+
pro-A-NS,NS,NC-3g-LG-u1.14,1582.6,1,OS/E+
pro-B-NS,NS,NC-3g-LG-u1.14,1371.6,0.8,OS/E+
pro-C-NS,NS,NC-3g-LG-u1.14,1934.3,1.2,OS/E+
pro-D-NS,NS,NC-3g-LG-u1.14,2180.4,1.4,OS/E+
pro-A-EW,EW,NC-3g-LG-u1.14,2708,1.5,OS/E+
pro-B-EW,EW,NC-3g-LG-u1.14,2461.8,1.2,OS/E+
pro-C-EW,EW,NC-3g-LG-u1.14,3692.7,2.1,OS/E+
pro-D-EW,EW,NC-3g-LG-u1.14,4431.2,2.5,OS/E+
pro-A-NS,NS,NC-3g-MG-u1.08,1934.3,1.4,OS/E+
pro-B-NS,NS,NC-3g-MG-u1.08,1477.1,1.1,OS/E+
pro-C-NS,NS,NC-3g-MG-u1.08,2496.9,1.8,OS/E+
pro-D-NS,NS,NC-3g-MG-u1.08,2883.8,2.2,OS/E+
pro-A-EW,EW,NC-3g-MG-u1.08,3622.3,2.3,OS/E+
pro-B-EW,EW,NC-3g-MG-u1.08,3305.8,1.6,OS/E+
pro-C-EW,EW,NC-3g-MG-u1.08,5134.6,3.3,OS/E+
pro-D-EW,EW,NC-3g-MG-u1.08,6224.8,4,OS/E+
