analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-CasementWindows,cost-estimates|byAttribute|Opt-DWHRSystem,cost-estimates|byAttribute|Opt-GenericWall_1Layer_definitions,cost-estimates|byAttribute|Opt-HVACSystem,cost-estimates|byAttribute|Opt-HRVonly,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CasementWindows,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHRSystem,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-GenericWall_1Layer_definitions,input|Opt-H2K-PV,input|Opt-HRVonly,input|Opt-HRVspec,input|Opt-HVACSystem,input|Opt-Location,input|Opt-MainWall,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-WindowDistribution,input|Run-Locale,input|Run-Region,output|AnnDHWLoad-GJ,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|EnvAGBsemntHL-GJ,output|EnvAirLkVntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvCeilHL-GJ,output|EnvCrawlHL-GJ,output|EnvDoorHL-GJ,output|EnvFABsemntHL-GJ,output|EnvFloorHL-GJ,output|EnvPonyWallHL-GJ,output|EnvSlabHL-GJ,output|EnvTotalHL-GJ,output|EnvWallHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|HDDs,output|HotWaterElec-GJ,output|HotWaterGas-GJ,output|HotWaterOil-GJ,output|HotWaterProp-GJ,output|HotWaterWood-GJ,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatOil-GJ,output|SpcHeatProp-GJ,output|SpcHeatWood-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.623,0,0,0,0.602,0,0,0.624,0.277,0,0,0,0.272,0,0,0.278,Zone 5,,Natural gas,pro-A-EW.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,0.0,1973.53,1210.25,10579.36,0.0,9882.88,5178.64,2359.98,660.39,0.0,2457.82,0.0,0.0,269.74,577.1,26950.679999999997,8199.01,0,Details in JSON output,Details in JSON output,true,35149.689999999995,S,Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone5_HRV,NBC-Baseloads,NBC-zone5-window,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone5-Doorwindow,NBC-zone5-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.97_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_2.98RSI,NA,NBC_Wall_zone5_HRV,NA,NBC_HRV,NA,elec-baseboard+AC,TORONTO,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,TORONTO,ONTARIO,15.4,68.1,2.6,0,2.9,17.2,68.1,0,26.3,118.5,1.2,32917.9,0.0,0.0,0.0,0.0,4.0,18.2,15.7,0.0,6.6,0.0,5.5,12.7,2.9,0.0,0.0,108.2,30.9,24.5,108,3520,17.2,0.0,0.0,0.0,0.0,2.518,5.21,81.5,1,5327.2,11005.1,0.0,2914.1,68.1,0.0,0.0,0.0,0.0,62.1,8.9,3394.14,0.0,3394.14,0.0,0.0,0.0,3394.14,0.0,true,1,1,5.211974,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.502,0,0,0,0.498,0,0,0.503,Zone 5,,Natural gas,pro-A-EW.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,0.0,1973.53,1210.25,11721.84,0.0,9882.88,5643.67,2359.98,660.39,0.0,2457.82,0.0,0.0,269.74,577.1,28093.16,8664.04,0,Details in JSON output,Details in JSON output,true,36757.2,S,Opt-CasementWindows=>NC-2g-HG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone5_HRV,NBC-Baseloads,NC-2g-HG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone5-Doorwindow,NBC-zone5-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.97_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_2.98RSI,NA,NBC_Wall_zone5_HRV,NA,NBC_HRV,NA,elec-baseboard+AC,TORONTO,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,TORONTO,ONTARIO,15.4,60.9,2.9,0,4.2,17.2,60.9,0,26.3,114.7,1.2,31870.0,0.0,0.0,0.0,0.0,4.0,18.2,15.7,0.0,6.6,0.0,5.5,12.7,2.9,0.0,0.0,108.8,30.9,25.1,109,3520,17.2,0.0,0.0,0.0,0.0,2.496,5.08,76.2,1,7238.0,11064.7,0.0,2807.7,60.9,0.0,0.0,0.0,0.0,55.6,14.6,3287.68,0.0,3287.68,0.0,0.0,0.0,3287.68,0.0,true,1,1,5.078932,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.256,0,0,0,0.254,0,0,0.257,Zone 5,,Natural gas,pro-A-EW.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,0.0,1973.53,1210.25,10960.19,0.0,9882.88,5138.09,2359.98,660.39,0.0,2457.82,0.0,0.0,269.74,577.1,27331.51,8158.46,0,Details in JSON output,Details in JSON output,true,35489.969999999994,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone5_HRV,NBC-Baseloads,NC-2g-MG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone5-Doorwindow,NBC-zone5-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.97_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_2.98RSI,NA,NBC_Wall_zone5_HRV,NA,NBC_HRV,NA,elec-baseboard+AC,TORONTO,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,TORONTO,ONTARIO,15.4,69.5,2.6,0,2.7,17.2,69.5,0,26.3,119.6,1.2,33229.3,0.0,0.0,0.0,0.0,4.0,18.2,15.7,0.0,6.6,0.0,5.5,12.7,2.9,0.0,0.0,108.8,30.9,25.1,109,3520,17.2,0.0,0.0,0.0,0.0,2.496,5.19,82.7,1,5160.6,11064.7,0.0,2945.8,69.5,0.0,0.0,0.0,0.0,63.4,8.1,3425.79,0.0,3425.79,0.0,0.0,0.0,3425.79,0.0,true,1,1,5.192662,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.187,0,0,0,0.186,0,0,0.188,Zone 5,,Natural gas,pro-A-EW.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,0.0,1973.53,1210.25,10960.19,0.0,9882.88,4996.52,2359.98,660.39,0.0,2457.82,0.0,0.0,269.74,577.1,27331.51,8016.89,0,Details in JSON output,Details in JSON output,true,35348.399999999994,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone5_HRV,NBC-Baseloads,NC-2g-LG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone5-Doorwindow,NBC-zone5-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.97_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_2.98RSI,NA,NBC_Wall_zone5_HRV,NA,NBC_HRV,NA,elec-baseboard+AC,TORONTO,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,TORONTO,ONTARIO,15.4,72.3,2.4,0,2.4,17.2,72.3,0,26.3,121.7,1.2,33812.0,0.0,0.0,0.0,0.0,4.0,18.2,15.7,0.0,6.6,0.0,5.5,12.7,2.9,0.0,0.0,108.8,30.9,25.1,109,3520,17.2,0.0,0.0,0.0,0.0,2.496,5.42,85.0,1,4578.9,11064.7,0.0,3005.0,72.3,0.0,0.0,0.0,0.0,66.0,6.7,3484.99,0.0,3484.99,0.0,0.0,0.0,3484.99,0.0,true,1,1,5.423228,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,VANCOUVER,13.7,0,0,0,2.7,0,0,19.0,0.623,0,0,0,0.602,0,0,0.624,0.277,0,0,0,0.272,0,0,0.278,Zone 4,,Natural gas,pro-A-EW.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,0.0,1973.53,1210.25,10579.36,0.0,8320.11,4168.78,2359.98,660.39,0.0,1870.88,0.0,0.0,242.22,577.1,24773.45,7189.15,0,Details in JSON output,Details in JSON output,true,31962.599999999995,S,Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone4,NBC-Baseloads,NBC-zone4-window,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone4-Doorwindow,NBC-zone4-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.78_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_1.99RSI,NA,NBC_Wall_zone4,NA,NBC_HRV,NA,elec-baseboard+AC,VANCOUVER,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,VANCOUVER,BRITISH COLUMBIA,15.4,48.0,1.4,0,1.4,17.2,48.0,0,26.3,95.7,1.2,26574.6,0.0,0.0,0.0,0.0,4.1,11.0,16.4,0.0,5.4,0.0,4.4,13.8,2.3,0.0,0.0,89.4,26.2,19.6,89,2825,17.2,0.0,0.0,0.0,0.0,2.443,5.55,61.8,1,4619.7,8015.0,0.0,2269.7,48.0,0.0,0.0,0.0,0.0,43.8,2.0,2749.67,0.0,2749.67,0.0,0.0,0.0,2749.67,0.0,true,1,1,5.55265,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,VANCOUVER,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.502,0,0,0,0.498,0,0,0.503,Zone 4,,Natural gas,pro-A-EW.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,0.0,1973.53,1210.25,11721.84,0.0,8320.11,4640.27,2359.98,660.39,0.0,1870.88,0.0,0.0,242.22,577.1,25915.93,7660.64,0,Details in JSON output,Details in JSON output,true,33576.56999999999,S,Opt-CasementWindows=>NC-2g-HG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone4,NBC-Baseloads,NC-2g-HG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone4-Doorwindow,NBC-zone4-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.78_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_1.99RSI,NA,NBC_Wall_zone4,NA,NBC_HRV,NA,elec-baseboard+AC,VANCOUVER,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,VANCOUVER,BRITISH COLUMBIA,15.4,42.3,2.2,0,2.1,17.2,42.3,0,26.3,92.5,1.2,25704.4,0.0,0.0,0.0,0.0,4.1,11.0,16.4,0.0,5.4,0.0,4.4,13.8,2.3,0.0,0.0,89.9,26.2,20.1,90,2825,17.2,0.0,0.0,0.0,0.0,2.423,5.09,57.3,1,6557.0,8058.2,0.0,2181.3,42.3,0.0,0.0,0.0,0.0,38.6,5.3,2661.25,0.0,2661.25,0.0,0.0,0.0,2661.25,0.0,true,1,1,5.091151,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,VANCOUVER,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.256,0,0,0,0.254,0,0,0.257,Zone 4,,Natural gas,pro-A-EW.h2k,sim-7.choices,HTAP-options.json,General,HTAP-work-0,7,HTAP-sim-7,Details in JSON output,0.0,1973.53,1210.25,10960.19,0.0,8320.11,4126.47,2359.98,660.39,0.0,1870.88,0.0,0.0,242.22,577.1,25154.280000000002,7146.84,0,Details in JSON output,Details in JSON output,true,32301.12,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone4,NBC-Baseloads,NC-2g-MG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone4-Doorwindow,NBC-zone4-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.78_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_1.99RSI,NA,NBC_Wall_zone4,NA,NBC_HRV,NA,elec-baseboard+AC,VANCOUVER,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,VANCOUVER,BRITISH COLUMBIA,15.4,49.1,1.2,0,1.3,17.2,49.1,0,26.3,96.7,1.2,26849.2,0.0,0.0,0.0,0.0,4.1,11.0,16.4,0.0,5.4,0.0,4.4,13.8,2.3,0.0,0.0,89.9,26.2,20.1,90,2825,17.2,0.0,0.0,0.0,0.0,2.423,2.84,62.8,1,4445.9,8058.2,0.0,2297.6,49.1,0.0,0.0,0.0,0.0,44.8,1.7,2777.56,0.0,2777.56,0.0,0.0,0.0,2777.56,0.0,true,1,1,2.8390079999999998,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,VANCOUVER,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.187,0,0,0,0.186,0,0,0.188,Zone 4,,Natural gas,pro-A-EW.h2k,sim-8.choices,HTAP-options.json,General,HTAP-work-1,8,HTAP-sim-8,Details in JSON output,0.0,1973.53,1210.25,10960.19,0.0,8320.11,3982.61,2359.98,660.39,0.0,1870.88,0.0,0.0,242.22,577.1,25154.280000000002,7002.98,0,Details in JSON output,Details in JSON output,true,32157.26,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone4,NBC-Baseloads,NC-2g-LG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone4-Doorwindow,NBC-zone4-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.78_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_1.99RSI,NA,NBC_Wall_zone4,NA,NBC_HRV,NA,elec-baseboard+AC,VANCOUVER,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,VANCOUVER,BRITISH COLUMBIA,15.4,51.6,0.9,0,1.2,17.2,51.6,0,26.3,98.8,1.2,27434.6,0.0,0.0,0.0,0.0,4.1,11.0,16.4,0.0,5.4,0.0,4.4,13.8,2.3,0.0,0.0,89.9,26.2,20.1,90,2825,17.2,0.0,0.0,0.0,0.0,2.423,2.83,65.0,1,3854.8,8058.2,0.0,2357.0,51.6,0.0,0.0,0.0,0.0,47.1,1.2,2837.04,0.0,2837.04,0.0,0.0,0.0,2837.04,0.0,true,1,1,2.827543,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,HALIFAX,13.7,0,0,0,2.7,0,0,19.0,0.652,0,0,0,0.644,0,0,0.652,0.277,0,0,0,0.272,0,0,0.278,Zone 6,,Natural gas,pro-A-EW.h2k,sim-9.choices,HTAP-options.json,General,HTAP-work-2,9,HTAP-sim-9,Details in JSON output,0.0,2473.86,1210.25,11721.84,0.0,9882.88,4646.54,2359.98,660.39,0.0,2457.82,0.0,0.0,269.74,577.1,28593.49,7666.91,0,Details in JSON output,Details in JSON output,true,36260.4,S,Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone6,NBC-Baseloads,NBC-zone6-window,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone6-Doorwindow,NBC-zone6-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.97_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_2.98RSI,NA,NBC_Wall_zone6_HRV,NA,NBC_HRV,NA,elec-baseboard+AC,HALIFAX,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,HALIFAX,NOVA SCOTIA,16.4,73.1,1.7,0,1.6,18.2,73.1,0,26.3,121.9,1.2,33853.8,0.0,0.0,0.0,0.0,4.3,19.9,20.0,0.0,6.0,0.0,5.3,15.6,3.1,0.0,0.0,117.5,33.6,25.3,117,4000,18.2,0.0,0.0,0.0,0.0,2.636,2.87,85.8,1,4079.5,10117.9,0.0,3009.2,73.1,0.0,0.0,0.0,0.0,66.7,3.0,3489.23,0.0,3489.23,0.0,0.0,0.0,3489.23,0.0,true,1,1,2.87067,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 2,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,HALIFAX,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.502,0,0,0,0.498,0,0,0.503,Zone 6,,Natural gas,pro-A-EW.h2k,sim-10.choices,HTAP-options.json,General,HTAP-work-3,10,HTAP-sim-10,Details in JSON output,0.0,2473.86,1210.25,11721.84,0.0,9882.88,5115.46,2359.98,660.39,0.0,2457.82,0.0,0.0,269.74,577.1,28593.49,8135.83,0,Details in JSON output,Details in JSON output,true,36729.32,S,Opt-CasementWindows=>NC-2g-HG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,ACH_NBC,NBC_Ceiling_zone6,NBC-Baseloads,NC-2g-HG-u1.65,NBC_CathCeiling_RSI4.67,NA,H2KCodeLibFile,NBC-HotWater_elec,NA,NBC-zone6-Doorwindow,NBC-zone6-door,NBC_936_4.67RSI,NBC_FlatCeiling_RSI4.67,NBC_RSI2.97_int,NBC_936_uninsulated_EffR0,NBC_936_1.96RSI,NBC_936_uninsulated_EffR0,NBC_936_2.98RSI,NA,NBC_Wall_zone6_HRV,NA,NBC_HRV,NA,elec-baseboard+AC,HALIFAX,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NA,HALIFAX,NOVA SCOTIA,16.4,65.5,2.2,0,2.1,18.2,65.5,0,26.3,116.0,1.2,32224.2,0.0,0.0,0.0,0.0,4.3,19.9,20.0,0.0,6.0,0.0,5.3,15.6,3.1,0.0,0.0,119.3,33.6,27.2,119,4000,18.2,0.0,0.0,0.0,0.0,2.573,2.84,79.5,1,6006.3,10272.2,0.0,2843.7,65.5,0.0,0.0,0.0,0.0,59.8,5.3,3323.67,0.0,3323.67,0.0,0.0,0.0,3323.67,0.0,true,1,1,2.842459,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
