analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-CasementWindows,cost-estimates|byAttribute|Opt-DWHRSystem,cost-estimates|byAttribute|Opt-GenericWall_1Layer_definitions,cost-estimates|byAttribute|Opt-HVACSystem,cost-estimates|byAttribute|Opt-HRVonly,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CasementWindows,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHRSystem,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-GenericWall_1Layer_definitions,input|Opt-H2K-PV,input|Opt-HRVonly,input|Opt-HRVspec,input|Opt-HVACSystem,input|Opt-Location,input|Opt-MainWall,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Run-Locale,input|Run-Region,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.623,0,0,0,0.602,0,0,0.624,0.277,0,0,0,0.272,0,0,0.278,Zone 5,,Natural gas,pro-A-EW.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,0.0,0.0,0.0,10579.36,0.0,0.0,4964.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.36,4964.04,0,Details in JSON output,Details in JSON output,true,15543.400000000001,S,Opt-CasementWindows=>NBC-zone5-window;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NBC-zone5-window,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,67.7,2.6,0,2.6,22.7,67.7,0,31.5,129.4,2.4,29616.2,610.6,0.0,0.0,0.0,110,3520,3.06,3.85,87.1,1,4445.4,10964.0,0.0,3070.9,61.8,7.8,3058.69,492.26,3550.95,0.0,0.0,0.0,3550.95,0.0,true,1,1,3.853262,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.55,0,0,0,0.55,0,0,0.55,0.493,0,0,0,0.488,0,0,0.493,Zone 5,,Natural gas,pro-A-EW.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,0.0,0.0,0.0,10579.36,0.0,0.0,5416.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.36,5416.24,0,Details in JSON output,Details in JSON output,true,15995.6,S,Opt-CasementWindows=>NC-2g-HG-u1.82;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-2g-HG-u1.82,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,63.9,2.9,0,3.8,22.7,63.9,0,31.5,128.1,2.4,29254.5,610.9,0.0,0.0,0.0,113,3520,2.907,3.87,84.7,1,6303.5,11264.2,0.0,3034.3,58.3,13.0,3021.94,492.38,3514.32,0.0,0.0,0.0,3514.32,0.0,true,1,1,3.865493,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.606,0,0,0,0.606,0,0,0.606,0.256,0,0,0,0.254,0,0,0.257,Zone 5,,Natural gas,pro-A-EW.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,0.0,0.0,0.0,10960.19,0.0,0.0,4922.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10960.19,4922.91,0,Details in JSON output,Details in JSON output,true,15883.1,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,69.0,2.6,0,2.5,22.7,69.0,0,31.5,130.4,2.4,29915.5,610.6,0.0,0.0,0.0,110,3520,3.029,3.84,88.2,1,4276.4,11023.7,0.0,3101.3,63.0,7.4,3089.1,492.24,3581.34,0.0,0.0,0.0,3581.34,0.0,true,1,1,3.843685,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.735,0,0,0,0.735,0,0,0.735,0.256,0,0,0,0.254,0,0,0.256,Zone 5,,Natural gas,pro-A-EW.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,0.0,0.0,0.0,12224.53,0.0,0.0,4785.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12224.53,4785.55,0,Details in JSON output,Details in JSON output,true,17010.08,S,Opt-CasementWindows=>NC-3g-MG-u1.36;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-MG-u1.36,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,65.0,2.6,0,2.5,22.7,65.0,0,31.5,126.4,2.4,28798.4,610.7,0.0,0.0,0.0,106,3520,3.261,3.8,84.5,1,4220.5,10613.4,0.0,2987.9,59.3,7.4,2975.6,492.27,3467.87,0.0,0.0,0.0,3467.87,0.0,true,1,1,3.796995,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.877,0,0,0,0.877,0,0,0.877,0.168,0,0,0,0.166,0,0,0.168,Zone 5,,Natural gas,pro-A-EW.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-0,5,HTAP-sim-5,Details in JSON output,0.0,0.0,0.0,12917.64,0.0,0.0,4469.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12917.64,4469.46,0,Details in JSON output,Details in JSON output,true,17387.1,S,Opt-CasementWindows=>NC-3g-LG-u1.14;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-LG-u1.14,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,65.3,2.3,0,2.0,22.7,65.3,0,31.5,125.5,2.4,28537.2,610.6,0.0,0.0,0.0,103,3520,3.463,2.69,84.3,1,3430.2,10302.0,0.0,2961.3,59.5,5.3,2949.06,492.22,3441.29,0.0,0.0,0.0,3441.29,0.0,true,1,1,2.687227,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,204.488,35.38,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,13.7,0,0,0,2.7,0,0,19.0,0.926,0,0,0,0.926,0,0,0.926,0.256,0,0,0,0.254,0,0,0.256,Zone 5,,Natural gas,pro-A-EW.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-1,6,HTAP-sim-6,Details in JSON output,0.0,0.0,0.0,13831.62,0.0,0.0,4648.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13831.62,4648.65,0,Details in JSON output,Details in JSON output,true,18480.270000000004,S,Opt-CasementWindows=>NC-3g-MG-u1.08;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-MG-u1.08,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,61.2,2.6,0,2.5,22.8,61.2,0,31.5,122.9,2.4,27824.9,611.3,0.0,0.0,0.0,102,3520,3.522,2.59,81.0,1,4166.5,10217.2,0.0,2889.3,55.8,7.5,2876.69,492.62,3369.31,0.0,0.0,0.0,3369.31,0.0,true,1,1,2.592802,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,18.3,0,0,2.7,0.602,0,0,0,0.624,0,0,0.602,0.272,0,0,0,0.278,0,0,0.272,Zone 5,,Natural gas,pro-B-EW.h2k,sim-7.choices,HTAP-options.json,General,HTAP-work-2,7,HTAP-sim-7,Details in JSON output,0.0,0.0,0.0,7064.0,0.0,0.0,4350.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7064.0,4350.48,0,Details in JSON output,Details in JSON output,true,11414.48,S,Opt-CasementWindows=>NBC-zone5-window;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NBC-zone5-window,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,61.4,2.4,0,2.0,22.8,61.4,0,31.5,121.6,2.4,27443.4,611.3,0.0,0.0,0.0,103,3520,3.44,2.56,80.8,1,2941.3,10318.4,0.0,2850.5,56.0,5.6,2837.93,492.6,3330.53,0.0,0.0,0.0,3330.53,0.0,true,1,1,2.559551,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,18.3,0,0,2.7,0.55,0,0,0,0.55,0,0,0.55,0.488,0,0,0,0.493,0,0,0.488,Zone 5,,Natural gas,pro-B-EW.h2k,sim-8.choices,HTAP-options.json,General,HTAP-work-3,8,HTAP-sim-8,Details in JSON output,0.0,0.0,0.0,7064.0,0.0,0.0,4656.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7064.0,4656.24,0,Details in JSON output,Details in JSON output,true,11720.24,S,Opt-CasementWindows=>NC-2g-HG-u1.82;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-2g-HG-u1.82,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,56.2,2.6,0,2.5,22.8,56.2,0,31.5,117.7,2.4,26356.0,611.5,0.0,0.0,0.0,105,3520,3.314,2.61,76.5,1,3689.2,10511.4,0.0,2740.2,51.3,7.7,2727.45,492.73,3220.19,0.0,0.0,0.0,3220.19,0.0,true,1,1,2.606439,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,18.3,0,0,2.7,0.606,0,0,0,0.606,0,0,0.606,0.254,0,0,0,0.256,0,0,0.254,Zone 5,,Natural gas,pro-B-EW.h2k,sim-9.choices,HTAP-options.json,General,HTAP-work-0,9,HTAP-sim-9,Details in JSON output,0.0,0.0,0.0,7318.28,0.0,0.0,4335.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7318.28,4335.32,0,Details in JSON output,Details in JSON output,true,11653.599999999999,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,62.5,2.4,0,2.0,22.8,62.5,0,31.5,122.6,2.4,27725.3,611.2,0.0,0.0,0.0,103,3520,3.418,2.49,81.8,1,2879.1,10350.8,0.0,2879.2,57.0,5.4,2866.57,492.58,3359.15,0.0,0.0,0.0,3359.15,0.0,true,1,1,2.486662,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,88.07,129.118,0,7.123,0.0,34.59,25.571,436.27,0,0,216.244,23.624,TORONTO,ONTARIO,Attic/hip,304.4,,Two,SingleDetached,820.1,TORONTO,2.7,0,0,0,18.3,0,0,2.7,0.735,0,0,0,0.735,0,0,0.735,0.254,0,0,0,0.256,0,0,0.254,Zone 5,,Natural gas,pro-B-EW.h2k,sim-10.choices,HTAP-options.json,General,HTAP-work-1,10,HTAP-sim-10,Details in JSON output,0.0,0.0,0.0,8162.5,0.0,0.0,4326.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8162.5,4326.26,0,Details in JSON output,Details in JSON output,true,12488.76,S,Opt-CasementWindows=>NC-3g-MG-u1.36;Opt-HVACSystem=>elec-baseboard+AC;,true,NA,NA,NA,NC-3g-MG-u1.36,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elec-baseboard+AC,TORONTO,NA,NA,as-found,NA,NA,NA,TORONTO,ONTARIO,59.8,2.4,0,2.0,22.8,59.8,0,31.5,119.9,2.4,26970.1,611.3,0.0,0.0,0.0,100,3520,3.612,2.46,79.3,1,2841.8,10076.8,0.0,2802.5,54.6,5.4,2789.85,492.61,3282.46,0.0,0.0,0.0,3282.46,0.0,true,1,1,2.461322,aa1b474d0b886111316a48b7fbdb27a6,aa1b474d0b886111316a48b7fbdb27a6,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
