analysis_BCStepCode|TEDI_compliance,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-Type,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-R-value-E,archetype|Win-R-value-N,archetype|Win-R-value-NE,archetype|Win-R-value-NW,archetype|Win-R-value-S,archetype|Win-R-value-SE,archetype|Win-R-value-SW,archetype|Win-R-value-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-CasementWindows,cost-estimates|byAttribute|Opt-DWHRSystem,cost-estimates|byAttribute|Opt-GenericWall_1Layer_definitions,cost-estimates|byAttribute|Opt-HVACSystem,cost-estimates|byAttribute|Opt-HRVonly,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CasementWindows,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHRSystem,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-GenericWall_1Layer_definitions,input|Opt-H2K-PV,input|Opt-HRVonly,input|Opt-HRVspec,input|Opt-HVACSystem,input|Opt-Location,input|Opt-MainWall,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-WindowDistribution,input|Run-Locale,input|Run-Region,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|ERS-Value,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|House-R-Value(SI),output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|Ref-En-Total-GJ,output|SimplePaybackYrs,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 5,74.97,82.594,0.0,4.583,2.385,0.0,0.0,265.397,0.0,0.0,157.534,20.686,WHITEHORSE,YUKON TERRITORY,Scissor,225.1,S,Y-1000,Two,SingleDetached,590.2,WHITEHORSE,0.0,6.1,0.0,0.0,8.2,0.0,0.0,6.4,0.0,0.84,0.0,0.0,0.798,0.0,0.0,0.801,0.0,0.248,0.0,0.0,0.223,0.0,0.0,0.276,Zone 7b,,Oil,ERS-1001.H2K,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,YUKON TERRITORY,39.2,0.2,0.0,2.0,18.7,39.2,0,25.6,81.1,0.1,18569.9,0.0,0.0,742.0,0.0,72,6580,3.914,10.46,74.0,1.0,1760.8,7919.3,0.0,1559.2,48.3,0.3,1512.71,0.0,2039.2,0.0,526.49,0.0,2039.2,0.0,true,1,1,10.464323,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 5,74.97,82.594,0.0,4.583,2.385,0.0,0.0,265.397,0.0,0.0,151.727,26.493,WHITEHORSE,YUKON TERRITORY,Scissor,225.1,S,Y-1000,Two,SingleDetached,590.2,WHITEHORSE,6.0,6.5,0.0,0.0,6.0,0.0,0.0,7.9,0.943,0.97,0.0,0.0,0.943,0.0,0.0,0.867,0.252,0.271,0.0,0.0,0.252,0.0,0.0,0.28,Zone 7b,,Oil,ERS-1001.H2K,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,YUKON TERRITORY,38.7,0.2,0.0,2.0,18.7,38.7,0,25.6,80.7,0.1,18458.6,0.0,0.0,742.0,0.0,73,6580,3.805,6.85,73.5,1.0,2312.3,8021.8,0.0,1551.4,47.8,0.4,1504.9,0.0,2031.38,0.0,526.49,0.0,2031.38,0.0,true,1,1,6.853799,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,74.97,82.594,0.0,4.583,2.385,0.0,0.0,265.397,0.0,0.0,157.534,20.686,WHITEHORSE,YUKON TERRITORY,Scissor,225.1,S,Y-1000,Two,SingleDetached,590.2,WHITEHORSE,0.0,6.1,0.0,0.0,8.2,0.0,0.0,6.4,0.0,0.612,0.0,0.0,0.606,0.0,0.0,0.628,0.0,0.2,0.0,0.0,0.184,0.0,0.0,0.238,Zone 7b,,Oil,ERS-1001.H2K,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,0.0,0.0,0.0,5669.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5669.66,0.0,0,Details in JSON output,Details in JSON output,true,5669.66,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,YUKON TERRITORY,44.8,0.2,0.0,1.9,18.7,44.8,0,25.6,86.5,0.1,20139.5,0.0,0.0,742.0,0.0,77,6580,3.493,8.55,80.9,1.0,1611.4,8433.5,0.0,1669.4,55.3,0.3,1622.9,0.0,2149.38,0.0,526.49,0.0,2149.38,0.0,true,1,1,8.552986,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,74.97,82.594,0.0,4.583,2.385,0.0,0.0,265.397,0.0,0.0,151.727,26.493,WHITEHORSE,YUKON TERRITORY,Scissor,225.1,S,Y-1000,Two,SingleDetached,590.2,WHITEHORSE,6.0,6.5,0.0,0.0,6.0,0.0,0.0,7.9,0.606,0.611,0.0,0.0,0.606,0.0,0.0,0.624,0.187,0.201,0.0,0.0,0.187,0.0,0.0,0.231,Zone 7b,,Oil,ERS-1001.H2K,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,0.0,0.0,0.0,7468.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7468.56,0.0,0,Details in JSON output,Details in JSON output,true,7468.56,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,YUKON TERRITORY,48.6,0.2,0.0,2.0,18.7,48.6,0,25.6,90.1,0.1,21195.9,0.0,0.0,742.0,0.0,83,6580,3.146,6.69,85.6,1.0,1981.3,8942.2,0.0,1743.5,60.0,0.3,1697.05,0.0,2223.54,0.0,526.49,0.0,2223.54,0.0,true,1,1,6.686682,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,74.97,82.594,0.0,4.583,2.385,0.0,0.0,265.397,0.0,0.0,157.534,20.686,WHITEHORSE,YUKON TERRITORY,Scissor,225.1,S,Y-1000,Two,SingleDetached,590.2,WHITEHORSE,0.0,6.1,0.0,0.0,8.2,0.0,0.0,6.4,0.0,0.612,0.0,0.0,0.606,0.0,0.0,0.628,0.0,0.262,0.0,0.0,0.252,0.0,0.0,0.286,Zone 7b,,Oil,ERS-1001.H2K,sim-5.choices,HTAP-options.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,0.0,0.0,0.0,5669.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5669.66,0.0,0,Details in JSON output,Details in JSON output,true,5669.66,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,YUKON TERRITORY,43.1,0.2,0.0,2.0,18.7,43.1,0,25.6,84.9,0.1,19679.8,0.0,0.0,742.0,0.0,77,6580,3.493,11.84,78.9,1.0,1842.3,8433.5,0.0,1637.1,53.2,0.4,1590.62,0.0,2117.11,0.0,526.49,0.0,2117.11,0.0,true,1,1,11.840285,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,74.97,82.594,0.0,4.583,2.385,0.0,0.0,265.397,0.0,0.0,151.727,26.493,WHITEHORSE,YUKON TERRITORY,Scissor,225.1,S,Y-1000,Two,SingleDetached,590.2,WHITEHORSE,6.0,6.5,0.0,0.0,6.0,0.0,0.0,7.9,0.606,0.611,0.0,0.0,0.606,0.0,0.0,0.624,0.256,0.265,0.0,0.0,0.256,0.0,0.0,0.283,Zone 7b,,Oil,ERS-1001.H2K,sim-6.choices,HTAP-options.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,0.0,0.0,0.0,7468.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7468.56,0.0,0,Details in JSON output,Details in JSON output,true,7468.56,S,Opt-CasementWindows=>NC-2g-MG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-MG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,YUKON TERRITORY,46.7,0.2,0.0,2.0,18.7,46.7,0,25.6,88.3,0.1,20682.1,0.0,0.0,742.0,0.0,83,6580,3.146,12.65,83.3,1.0,2342.8,8942.2,0.0,1707.5,57.7,0.4,1660.99,0.0,2187.47,0.0,526.49,0.0,2187.47,0.0,true,1,1,12.653855,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,0.0,148.459,148.46,5.114,0.88,0.0,8.175,468.789,0.0,0.0,247.95,59.09,WHITEHORSE,YUKON TERRITORY,Attic/gable,187.3,N,YT-1001,Two,SingleDetached,772.1,WHITEHORSE,5.6,1.9,9.1,1.4,11.9,16.3,12.9,0.0,1.252,0.939,1.269,1.206,1.227,1.18,1.201,0.0,0.218,0.119,0.222,0.207,0.212,0.219,0.206,0.0,Zone 7b,,electricity,ERS-1003.H2K,sim-7.choices,HTAP-options.json,General,HTAP-work-6,7,HTAP-sim-7,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,YUKON TERRITORY,43.6,0.5,0.0,2.1,18.5,43.6,0,25.6,85.6,0.3,25077.3,0.0,0.0,0.0,0.0,90,6580,4.849,14.91,95.8,1.0,4060.3,10766.9,0.0,1489.5,64.7,1.1,1969.53,0.0,1969.53,0.0,0.0,0.0,1969.53,0.0,true,1,1,14.908433,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,0.0,148.459,148.46,5.114,0.88,0.0,8.175,468.789,0.0,0.0,247.95,59.09,WHITEHORSE,YUKON TERRITORY,Attic/gable,187.3,N,YT-1001,Two,SingleDetached,772.1,WHITEHORSE,14.6,14.6,0.0,0.0,14.6,0.9,0.0,14.6,1.48,1.48,0.0,0.0,1.48,0.759,0.0,1.48,0.264,0.264,0.0,0.0,0.264,0.378,0.0,0.264,Zone 7b,,electricity,ERS-1003.H2K,sim-8.choices,HTAP-options.json,General,HTAP-work-7,8,HTAP-sim-8,Details in JSON output,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NA,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,YUKON TERRITORY,39.8,0.5,0.0,2.1,18.5,39.8,0,25.6,81.9,0.3,24008.7,0.0,0.0,0.0,0.0,85,6580,5.322,7.78,90.1,1.0,4122.8,10189.5,0.0,1414.5,59.0,1.2,1894.52,0.0,1894.52,0.0,0.0,0.0,1894.52,0.0,true,1,1,7.784452,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,0.0,148.459,148.46,5.114,0.88,0.0,8.175,468.789,0.0,0.0,247.95,59.09,WHITEHORSE,YUKON TERRITORY,Attic/gable,187.3,N,YT-1001,Two,SingleDetached,772.1,WHITEHORSE,5.6,1.9,9.1,1.4,11.9,16.3,12.9,0.0,0.606,0.606,0.606,0.606,0.606,0.613,0.606,0.0,0.185,0.178,0.185,0.184,0.185,0.195,0.184,0.0,Zone 7b,,electricity,ERS-1003.H2K,sim-9.choices,HTAP-options.json,General,HTAP-work-8,9,HTAP-sim-9,Details in JSON output,0.0,0.0,0.0,18032.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18032.65,0.0,0,Details in JSON output,Details in JSON output,true,18032.65,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Proposed-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Proposed-9.36,NA,YUKON TERRITORY,71.9,0.4,0.0,2.1,18.5,71.9,0,25.6,112.3,0.3,32915.2,0.0,0.0,0.0,0.0,121,6580,3.238,12.19,137.7,1.0,3704.4,13798.8,0.0,2039.8,106.6,0.9,2519.75,0.0,2519.75,0.0,0.0,0.0,2519.75,0.0,true,1,1,12.192533,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,0.0,148.459,148.46,5.114,0.88,0.0,8.175,468.789,0.0,0.0,247.95,59.09,WHITEHORSE,YUKON TERRITORY,Attic/gable,187.3,N,YT-1001,Two,SingleDetached,772.1,WHITEHORSE,14.6,14.6,0.0,0.0,14.6,0.9,0.0,14.6,0.606,0.606,0.0,0.0,0.606,0.759,0.0,0.606,0.188,0.188,0.0,0.0,0.188,0.378,0.0,0.188,Zone 7b,,electricity,ERS-1003.H2K,sim-10.choices,HTAP-options.json,General,HTAP-work-9,10,HTAP-sim-10,Details in JSON output,0.0,0.0,0.0,18032.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18032.65,0.0,0,Details in JSON output,Details in JSON output,true,18032.65,S,Opt-CasementWindows=>NC-2g-LG-u1.65;Opt-HVACSystem=>NBC-elec-heat-AC;Opt-WindowDistribution=>Reference-9.36;,true,NA,NA,NA,NC-2g-LG-u1.65,NA,NA,H2KCodeLibFile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NBC-elec-heat-AC,NA,NA,General,as-found,NA,NA,NA,Reference-9.36,NA,YUKON TERRITORY,74.9,0.4,0.0,2.0,18.5,74.9,0,25.6,115.1,0.3,33744.5,0.0,0.0,0.0,0.0,121,6580,3.238,12.09,142.1,1.0,3223.1,13762.6,0.0,2098.0,111.2,0.7,2577.97,0.0,2577.97,0.0,0.0,0.0,2577.97,0.0,true,1,1,12.093463,219428d29c121312e0a52849e73b624b,219428d29c121312e0a52849e73b624b,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
