analysis_BCStepCode|TEDI_compliance,archetype|Archetype-ACH,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-City,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-RSI,archetype|Ceiling-Type,archetype|Ceiling-UAValue,archetype|EvaluationDate,archetype|ExposedFloor-RSI,archetype|ExposedFloor-UAValue,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Wall-RSI,archetype|Wall-UAValue,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|Window-UAValue,archetype|Year-Built,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,configuration|version,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-DWHR,cost-estimates|byAttribute|Opt-AboveGradeWall,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-VentSystem,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AboveGradeWall,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHR,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-H2K-PV,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-VentSystem,input|Opt-WindowDistribution,input|Opt-Windows,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|DesignTemp-Heating-oC,output|ERS-Value,output|ERSRefHouse_Energy-CoolingGJ,output|ERSRefHouse_Energy-DHWGJ,output|ERSRefHouse_Energy-HeatingGJ,output|ERSRefHouse_Energy-Total-GJ,output|ERSRefHouse_Energy-VentGJ,output|ESRefHouse_Energy-PlugGJ,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|Infil-VentHeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6521.25,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7181.64,0,Details in JSON output,Details in JSON output,true,7181.64,S,,false,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,CALGARY,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,CALGARY,ALBERTA,{},104.0,0.0,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,104.0,0,25.6,145.4,0.0,40392.0,0.0,0.0,0.0,0.0,150.5,5000,37.9,1.69,183.2,1,2477.7,19382.3,159.0,0.0,20.3,3044.63,0.0,3044.63,0.0,0.0,0.0,3044.63,0.0,true,1,1,1.6867549,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11701.529999999999,0,Details in JSON output,Details in JSON output,true,11701.53,S,Opt-Heating-Cooling=>ASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,ASHP,CALGARY,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,CALGARY,ALBERTA,{},103.7,3.3,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.8,55.0,0,25.6,97.3,0.0,27033.8,0.0,0.0,0.0,0.0,150.1,5000,37.8,1.7,109.4,1,2477.7,19473.1,158.6,3.0,20.3,2106.88,0.0,2106.88,0.0,0.0,0.0,2106.88,0.0,true,1,1,1.7011030999999999,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,CALGARY,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,CALGARY,ALBERTA,{},103.7,3.0,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,15.8,60.9,0,25.6,103.4,0.0,28713.0,0.0,0.0,0.0,0.0,150.2,5000,37.8,1.73,118.7,1,2477.7,19473.1,158.6,3.0,20.3,2224.76,0.0,2224.76,0.0,0.0,0.0,2224.76,0.0,true,1,1,1.7294398000000002,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP-NECB;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NECB,CALGARY,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,CALGARY,ALBERTA,{},103.7,2.7,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.8,86.2,0,25.6,128.8,0.0,35782.3,0.0,0.0,0.0,0.0,150.2,5000,37.8,1.72,157.6,1,2477.7,19473.1,158.6,3.0,20.3,2721.02,0.0,2721.02,0.0,0.0,0.0,2721.02,0.0,true,1,1,1.716191,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP-NEEP-Conservative-CZ7a;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NEEP-Conservative-CZ7a,CALGARY,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,CALGARY,ALBERTA,{},103.6,2.9,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.8,52.9,0,25.6,95.4,0.0,26503.6,0.0,0.0,0.0,0.0,150.1,5000,37.8,1.77,106.5,1,2477.7,19473.1,158.5,3.0,20.3,2069.65,0.0,2069.65,0.0,0.0,0.0,2069.65,0.0,true,1,1,1.7694638999999999,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP-NEEP-Generic-CZ7a;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NEEP-Generic-CZ7a,CALGARY,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,CALGARY,ALBERTA,{},103.6,3.2,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,15.8,51.6,0,25.6,93.9,0.0,26097.1,0.0,0.0,0.0,0.0,150.1,5000,37.8,1.69,104.3,1,2477.7,19473.1,158.5,3.0,20.3,2041.12,0.0,2041.12,0.0,0.0,0.0,2041.12,0.0,true,1,1,1.6921274,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-7.choices,HTAP-options.json,General,HTAP-work-6,7,HTAP-sim-7,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,,false,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,vintageOil68%,CALGARY,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,CALGARY,ALBERTA,{},101.8,0.0,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,145.7,0,25.6,199.7,0.0,7655.4,0.0,4468.5,0.0,0.0,154.2,5000,37.9,1.84,266.3,1,2589.7,19663.5,155.6,0.0,21.1,746.51,0.0,5997.06,5250.55,0.0,0.0,5997.06,0.0,true,1,1,1.835307,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-8.choices,HTAP-options.json,General,HTAP-work-7,8,HTAP-sim-8,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.14,0,Details in JSON output,Details in JSON output,true,11041.14,S,Opt-Heating-Cooling=>ASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,ASHP,CALGARY,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,CALGARY,ALBERTA,{},101.4,3.3,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,28.5,53.8,0,25.6,108.9,0.0,22338.0,0.0,738.5,0.0,0.0,153.8,5000,37.9,1.84,127.1,1,2589.7,19739.1,155.2,3.1,21.1,1777.23,0.0,2645.02,867.79,0.0,0.0,2645.02,0.0,true,1,1,1.8375769,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-9.choices,HTAP-options.json,General,HTAP-work-0,9,HTAP-sim-9,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0,Details in JSON output,Details in JSON output,true,18416.14,S,Opt-Heating-Cooling=>CCASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,CALGARY,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,CALGARY,ALBERTA,{},101.5,3.0,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,28.5,59.3,0,25.6,114.4,0.0,23875.5,0.0,738.5,0.0,0.0,153.8,5000,37.9,1.58,135.5,1,2589.7,19739.1,155.2,3.1,21.1,1885.17,0.0,2752.9,867.74,0.0,0.0,2752.9,0.0,true,1,1,1.5831855000000001,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,CALGARY,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7a,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-10.choices,HTAP-options.json,General,HTAP-work-1,10,HTAP-sim-10,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0,Details in JSON output,Details in JSON output,true,18416.14,S,Opt-Heating-Cooling=>CCASHP-NECB;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NECB,CALGARY,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,CALGARY,ALBERTA,{},101.4,2.6,-30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.5,84.8,0,25.6,140.0,0.0,30990.9,0.0,738.5,0.0,0.0,153.8,5000,37.9,1.43,174.7,1,2589.7,19739.1,155.2,3.1,21.1,2384.67,0.0,3252.43,867.76,0.0,0.0,3252.43,0.0,true,1,1,1.4256622,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
