analysis_BCStepCode|TEDI_compliance,archetype|Archetype-ACH,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-City,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-RSI,archetype|Ceiling-Type,archetype|Ceiling-UAValue,archetype|EvaluationDate,archetype|ExposedFloor-RSI,archetype|ExposedFloor-UAValue,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Wall-RSI,archetype|Wall-UAValue,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|Window-UAValue,archetype|Year-Built,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,configuration|version,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-DWHR,cost-estimates|byAttribute|Opt-AboveGradeWall,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-VentSystem,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|GOconfig_rotate,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AboveGradeWall,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHR,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-H2K-PV,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-VentSystem,input|Opt-WindowDistribution,input|Opt-Windows,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|DesignTemp-Heating-oC,output|ERS-Value,output|ERSRefHouse_Energy-CoolingGJ,output|ERSRefHouse_Energy-DHWGJ,output|ERSRefHouse_Energy-HeatingGJ,output|ERSRefHouse_Energy-Total-GJ,output|ERSRefHouse_Energy-VentGJ,output|ESRefHouse_Energy-PlugGJ,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|Gross-HeatLoss-GJ,output|HDDs,output|Infil-VentHeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-1.choices,HTAP-options.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7387.5,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8047.89,0,Details in JSON output,Details in JSON output,true,8047.89,S,,false,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,NBC-elec-heat,PRINCEALBERT,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,PRINCEALBERT,SASKATCHEWAN,{},145.5,0.0,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,145.5,0,25.6,187.3,0.0,52024.5,0.0,0.0,0.0,0.0,191.5,6100,53.9,1.71,247.3,1,2734.6,22633.8,222.6,0.0,19.9,3861.22,0.0,3861.22,0.0,0.0,0.0,3861.22,0.0,true,1,1,1.7129619,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-2.choices,HTAP-options.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11701.529999999999,0,Details in JSON output,Details in JSON output,true,11701.53,S,Opt-Heating-Cooling=>ASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,ASHP,PRINCEALBERT,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,PRINCEALBERT,SASKATCHEWAN,{},145.2,3.1,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,16.1,96.4,0,25.6,139.2,0.0,38673.7,0.0,0.0,0.0,0.0,191.1,6100,53.9,1.64,173.5,1,2734.6,22737.0,222.1,3.4,19.9,2924.0,0.0,2924.0,0.0,0.0,0.0,2924.0,0.0,true,1,1,1.6385121,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-3.choices,HTAP-options.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,PRINCEALBERT,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,PRINCEALBERT,SASKATCHEWAN,{},145.3,2.8,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.1,106.3,0,25.6,149.2,0.0,41445.5,0.0,0.0,0.0,0.0,191.1,6100,53.9,1.72,188.8,1,2734.6,22737.0,222.2,3.4,19.9,3118.58,0.0,3118.58,0.0,0.0,0.0,3118.58,0.0,true,1,1,1.7206253999999999,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-4.choices,HTAP-options.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP-NECB;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NECB,PRINCEALBERT,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,PRINCEALBERT,SASKATCHEWAN,{},145.2,2.5,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,16.1,133.3,0,25.6,176.3,0.0,48982.6,0.0,0.0,0.0,0.0,191.1,6100,53.9,1.68,230.3,1,2734.6,22737.0,222.1,3.4,19.9,3647.68,0.0,3647.68,0.0,0.0,0.0,3647.68,0.0,true,1,1,1.6808300999999999,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-5.choices,HTAP-options.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP-NEEP-Conservative-CZ7b;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NEEP-Conservative-CZ7b,PRINCEALBERT,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,PRINCEALBERT,SASKATCHEWAN,{},145.2,2.8,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,16.1,96.3,0,25.6,139.3,0.0,38696.3,0.0,0.0,0.0,0.0,191.1,6100,53.9,1.78,173.6,1,2734.6,22737.0,222.1,3.4,19.9,2925.59,0.0,2925.59,0.0,0.0,0.0,2925.59,0.0,true,1,1,1.7751217,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.59,0.6,0,0,0.6,0,0,0.59,38.6,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-6.choices,HTAP-options.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,660.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19076.53,0,Details in JSON output,Details in JSON output,true,19076.53,S,Opt-Heating-Cooling=>CCASHP-NEEP-Generic-CZ7b;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageElecEF0.92,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NEEP-Generic-CZ7b,PRINCEALBERT,General,ArchetypeRoadmapping_elec,NA,NA,NA,NA,NA,dbl-clear-u2.94,,,PRINCEALBERT,SASKATCHEWAN,{},145.2,3.0,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,16.1,91.5,0,25.6,134.4,0.0,37337.1,0.0,0.0,0.0,0.0,191.1,6100,53.9,1.83,166.1,1,2734.6,22737.0,222.1,3.4,19.9,2830.17,0.0,2830.17,0.0,0.0,0.0,2830.17,0.0,true,1,1,1.8336177,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-7.choices,HTAP-options.json,General,HTAP-work-6,7,HTAP-sim-7,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,S,,false,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,vintageOil68%,PRINCEALBERT,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,PRINCEALBERT,SASKATCHEWAN,{},144.1,0.0,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,200.1,0,25.6,254.5,0.0,7879.4,0.0,5871.0,0.0,0.0,195.8,6100,54.1,1.77,350.2,1,2846.6,22954.3,220.5,0.0,20.6,762.23,0.0,7660.7,6898.47,0.0,0.0,7660.7,0.0,true,1,1,1.7714093,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-8.choices,HTAP-options.json,General,HTAP-work-7,8,HTAP-sim-8,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11041.14,0,Details in JSON output,Details in JSON output,true,11041.14,S,Opt-Heating-Cooling=>ASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,ASHP,PRINCEALBERT,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,PRINCEALBERT,SASKATCHEWAN,{},143.7,3.1,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.9,96.0,0,25.6,151.7,0.0,34109.5,0.0,749.7,0.0,0.0,195.4,6100,53.9,1.87,192.5,1,2846.6,23038.8,219.9,3.5,20.6,2603.59,0.0,3484.54,880.95,0.0,0.0,3484.54,0.0,true,1,1,1.8734211,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-9.choices,HTAP-options.json,General,HTAP-work-0,9,HTAP-sim-9,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0,Details in JSON output,Details in JSON output,true,18416.14,S,Opt-Heating-Cooling=>CCASHP;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP,PRINCEALBERT,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,PRINCEALBERT,SASKATCHEWAN,{},143.8,2.8,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,28.9,105.0,0,25.6,160.8,0.0,36636.1,0.0,749.7,0.0,0.0,195.4,6100,53.9,1.6,206.4,1,2846.6,23038.8,219.9,3.5,20.6,2780.96,0.0,3661.85,880.89,0.0,0.0,3661.85,0.0,true,1,1,1.5983180000000001,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,6.0,85.13,89.9,0,3.532,0.0,0,17.331,290.887,0,0,166.996,13.128,OTTAWA,OTTAWA,ONTARIO,4.4,Attic/gable,20.42,2018-06-28,0,0,181.6,S,,Two,SingleDetached,664.3,1.76,94.82,PRINCEALBERT,1.3,5.1,0,0,5.5,0,0,1.3,0.629,0.639,0,0,0.64,0,0,0.629,43.72,1970,Zone 7b,Natural gas,Natural gas,roadmapping-1946-1983.h2k,sim-10.choices,HTAP-options.json,General,HTAP-work-1,10,HTAP-sim-10,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18416.14,0,Details in JSON output,Details in JSON output,true,18416.14,S,Opt-Heating-Cooling=>CCASHP-NECB;,true,ACH_6,Generic_Wall_R-10-eff,NA,ERS-Single-regular-19.5kWh&190_per_day,NA,CeilR25,H2KCodeLibFile,vintageOilEF0.52,none,NA,NA,VintageR10,NA,NA,uninsulated,NA,NA,VintageR5,rates2016,NA,NA,CCASHP-NECB,PRINCEALBERT,General,ArchetypeRoadmapping_oil,NA,NA,NA,NA,NA,dbl-clear-u3.33,,,PRINCEALBERT,SASKATCHEWAN,{},143.7,2.5,-37.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,28.9,132.4,0,25.6,188.3,0.0,44285.6,0.0,749.7,0.0,0.0,195.4,6100,53.9,1.46,248.6,1,2846.6,23038.8,219.9,3.5,20.6,3317.96,0.0,4198.91,880.96,0.0,0.0,4198.91,0.0,true,1,1,1.4601007,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,b0ebf5e7a018fc2f8fc7b6ae2e38eb98,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
