analysis_BCStepCode|TEDI_compliance,archetype|Archetype-ACH,archetype|Area-Basement-m2,archetype|Area-Ceiling-m2,archetype|Area-Crawl-m2,archetype|Area-Door-m2,archetype|Area-DoorWin-m2,archetype|Area-ExposedFloor-m2,archetype|Area-Header-m2,archetype|Area-House-m2,archetype|Area-Slab-m2,archetype|Area-Walkout-m2,archetype|Area-Wall-m2,archetype|Area-Windows-m2,archetype|Base-City,archetype|Base-Locale,archetype|Base-Region,archetype|Ceiling-RSI,archetype|Ceiling-Type,archetype|Ceiling-UAValue,archetype|EvaluationDate,archetype|ExposedFloor-RSI,archetype|ExposedFloor-UAValue,archetype|Floor-Area-m2,archetype|Front-Orientation,archetype|House-Builder,archetype|House-Storeys,archetype|House-Type,archetype|House-Volume-m3,archetype|Wall-RSI,archetype|Wall-UAValue,archetype|Weather-Locale,archetype|Win-Area-m2-E,archetype|Win-Area-m2-N,archetype|Win-Area-m2-NE,archetype|Win-Area-m2-NW,archetype|Win-Area-m2-S,archetype|Win-Area-m2-SE,archetype|Win-Area-m2-SW,archetype|Win-Area-m2-W,archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-NE,archetype|Win-SHGC-NW,archetype|Win-SHGC-S,archetype|Win-SHGC-SE,archetype|Win-SHGC-SW,archetype|Win-SHGC-W,archetype|Window-UAValue,archetype|Year-Built,archetype|climate-zone,archetype|fuel-DHW-presub,archetype|fuel-heating-presub,archetype|h2k-File,configuration|ChoiceFile,configuration|OptionsFile,configuration|Recovered-results,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,configuration|version,cost-estimates|audit,cost-estimates|byAttribute|Opt-Ceilings,cost-estimates|byAttribute|Opt-AtticCeilings,cost-estimates|byAttribute|Opt-FlatCeilings,cost-estimates|byAttribute|Opt-CathCeilings,cost-estimates|byAttribute|Opt-ACH,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-DWHR,cost-estimates|byAttribute|Opt-AboveGradeWall,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-VentSystem,cost-estimates|byAttribute|Opt-DHWSystem,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byAttribute|Opt-FoundationWallIntIns,cost-estimates|byAttribute|Opt-FoundationSlabBelowGrade,cost-estimates|byAttribute|Opt-FoundationSlabOnGrade,cost-estimates|byAttribute|Opt-FloorHeaderIntIns,cost-estimates|byAttribute|Opt-ExposedFloor,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|byBuildingComponent|renewable,cost-estimates|bySource,cost-estimates|costing-dimensions,cost-estimates|status,cost-estimates|total,input|House-ListOfUpgrades,input|House-Upgraded,input|Opt-ACH,input|Opt-AboveGradeWall,input|Opt-AtticCeilings,input|Opt-Baseloads,input|Opt-CathCeilings,input|Opt-Ceilings,input|Opt-DBFiles,input|Opt-DHWSystem,input|Opt-DWHR,input|Opt-DoorWindows,input|Opt-Doors,input|Opt-ExposedFloor,input|Opt-FlatCeilings,input|Opt-FloorHeaderIntIns,input|Opt-FoundationSlabBelowGrade,input|Opt-FoundationSlabOnGrade,input|Opt-FoundationWallExtIns,input|Opt-FoundationWallIntIns,input|Opt-FuelCost,input|Opt-H2K-PV,input|Opt-H2KFoundation,input|Opt-H2KFoundationSlabCrawl,input|Opt-HRVspec,input|Opt-Heating-Cooling,input|Opt-Location,input|Opt-ResultHouseCode,input|Opt-Ruleset,input|Opt-Skylights,input|Opt-Specifications,input|Opt-Temperatures,input|Opt-VentSystem,input|Opt-WindowDistribution,input|Opt-Windows,input|Ruleset-Fuel-Source,input|Ruleset-Ventilation,input|Run-Locale,input|Run-Region,input|upgrade-package-list,output|AnnDHWLoad-GJ,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|DesignTemp-Heating-oC,output|ERS-Value,output|ERSRefHouse_Energy-CoolingGJ,output|ERSRefHouse_Energy-DHWGJ,output|ERSRefHouse_Energy-HeatingGJ,output|ERSRefHouse_Energy-Total-GJ,output|ERSRefHouse_Energy-VentGJ,output|ESRefHouse_Energy-PlugGJ,output|Energy-CoolingGJ,output|Energy-DHWGJ,output|Energy-HeatingGJ,output|Energy-PV-kWh,output|Energy-PlugGJ,output|Energy-Total-GJ,output|Energy-VentGJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnergyOil_l,output|EnergyProp_L,output|EnergyWood_cord,output|EnvAGBsemntHL-GJ,output|EnvAirLkVntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvCeilHL-GJ,output|EnvCrawlHL-GJ,output|EnvDoorHL-GJ,output|EnvFABsemntHL-GJ,output|EnvFloorHL-GJ,output|EnvPonyWallHL-GJ,output|EnvSlabHL-GJ,output|EnvTotalHL-GJ,output|EnvWallHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|HDDs,output|HotWaterElec-GJ,output|HotWaterGas-GJ,output|HotWaterOil-GJ,output|HotWaterProp-GJ,output|HotWaterWood-GJ,output|Infil-VentHeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|NumTries,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatHP-GJ,output|SpcHeatOil-GJ,output|SpcHeatProp-GJ,output|SpcHeatWood-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-Oil,output|Util-Bill-Prop,output|Util-Bill-Wood,output|Util-Bill-gross,output|Util-PV-revenue,status|H2KDirCheckSumMatch,status|H2KDirCopyAttempts,status|H2KExecutionAttempts,status|H2KExecutionTime,status|MD5master,status|MD5workingcopy,status|errors,status|infoMsgs,status|processingtime,status|substitute-h2k-err-msgs,status|success,status|warnings,
Step 4,2.5,74.97,82.594,0,4.583,2.385,0,0,265.397,0,0,157.534,20.686,,WHITEHORSE,YUKON,15.47,Scissor,5.34,2018-09-27,0,0,225.1,S,Y-1000,Two,SingleDetached,590.2,3.08,51.14,WHITEHORSE,0,6.1,0,0,8.2,0,0,6.4,0,0.248,0,0,0.223,0,0,0.276,25.51,2018,Zone 7b,Propane,Oil,ERS-1001.H2K,sim-1.choices,project.json,General,HTAP-work-0,1,HTAP-sim-1,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,BaseDHW,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-oil-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,51.4,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,61.1,0,25.6,110.2,0.1,7416.8,627.6,1561.7,0.0,0.0,0.8,23.5,10.8,0.0,3.2,0.0,3.0,3.5,0.0,0.0,0.0,88.5,31.0,16.3,88.5,6580,0.0,23.4,0.0,0.0,0.0,23.5,3.59,104.4,1,1743.8,10257.8,1.0,0.0,0.0,60.2,0.0,0.0,63.4,0.0,9.0,729.76,501.23,3066.04,1835.05,0.0,0.0,3066.04,0.0,true,1,1,3.590656,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 1,2.5,0,148.459,148.46,5.114,0.88,0,8.175,468.789,0,0,247.95,59.09,,WHITEHORSE,YUKON,14.31,Attic/gable,10.37,2018-09-27,0,0,187.3,N,YT-1001,Two,SingleDetached,772.1,3.08,80.5,WHITEHORSE,5.6,1.9,9.1,1.4,11.9,16.3,12.9,0,0.218,0.119,0.222,0.207,0.212,0.219,0.206,0,49.08,2017,Zone 7b,Electricity,electricity,ERS-1003.H2K,sim-2.choices,project.json,General,HTAP-work-1,2,HTAP-sim-2,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,81.6,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,81.6,0,25.6,126.0,0.3,35000.9,0.0,0.0,0.0,0.0,0.0,32.7,0.0,0.0,6.2,9.4,2.9,0.0,0.0,0.0,0.0,131.6,49.2,31.3,131.6,6580,18.5,0.0,0.0,0.0,0.0,32.7,4.53,148.9,1,4352.7,16422.9,81.6,0.0,0.0,0.0,0.0,0.0,120.9,0.0,24.7,2666.17,0.0,2666.17,0.0,0.0,0.0,2666.17,0.0,true,1,1,4.5309794,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 3,2.5,0,72.65,70.51,2.554,1.022,2.137,17.187,231.215,0,0,119.253,17.435,,WHITEHORSE,YUKON,12.51,Attic/gable,5.81,2018-09-27,5.02,0.43,143.3,W,YT-1005,Two,Rowhouse-endunit,489.8,3.08,38.72,WHITEHORSE,4.4,6.6,0,0,0,0,0,6.4,0.227,0.221,0,0,0,0,0,0.244,20.51,2017,Zone 7b,Electricity,electricity,ERS-1014.H2K,sim-3.choices,project.json,General,HTAP-work-2,3,HTAP-sim-3,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},18.1,41.4,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,41.4,0,31.5,93.3,2.0,25928.9,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,3.4,4.7,1.5,0.0,0.3,0.0,0.0,72.7,25.3,13.7,72.7,6580,18.4,0.0,0.0,0.0,0.0,23.8,4.87,119.8,1,1862.5,8355.2,41.4,0.0,0.0,0.0,0.0,0.0,80.3,0.0,4.5,2684.06,0.0,2684.06,0.0,0.0,0.0,2684.06,0.0,true,1,1,4.8662797,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,2.5,0,72.093,72.09,2.554,1.022,0,11.055,163.633,0,0,67.092,10.839,,WHITEHORSE,YUKON,12.51,Attic/gable,5.76,2018-09-27,0,0,144.2,W,YT-1005,Two,Rowhouse-middleunit,527.4,3.08,21.78,WHITEHORSE,4.4,0,0,0,0,0,0,6.4,0.227,0,0,0,0,0,0,0.244,13.0,2017,Zone 7b,Electricity,electricity,ERS-1015.H2K,sim-4.choices,project.json,General,HTAP-work-3,4,HTAP-sim-4,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},18.1,30.0,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,30.0,0,31.5,83.7,2.0,23261.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,0.0,3.4,3.9,1.5,0.0,0.0,0.0,0.0,58.3,14.3,8.7,58.3,6580,20.3,0.0,0.0,0.0,0.0,26.6,3.58,100.6,1,1751.7,7171.8,30.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,3.2,2413.0,0.0,2413.0,0.0,0.0,0.0,2413.0,0.0,true,1,1,3.5813260999999996,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 5,2.5,0,73.393,73.39,3.819,1.533,0,18.72,228.396,0,0,115.354,17.11,,WHITEHORSE,YUKON,12.56,Attic/gable,5.84,2018-09-27,0,0,220.2,W,YT-1005,One,Rowhouse-endunit,543.5,3.08,37.45,WHITEHORSE,5.7,0,0,0,5.0,0,0,6.4,0.253,0,0,0,0.248,0,0,0.253,19.93,2017,Zone 7b,Electricity,electricity,ERS-1016.H2K,sim-5.choices,project.json,General,HTAP-work-4,5,HTAP-sim-5,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,36.4,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,36.4,0,25.6,80.1,0.6,22261.4,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,3.5,4.7,2.1,0.0,0.0,0.0,0.0,67.9,23.4,12.7,67.9,6580,17.4,0.0,0.0,0.0,0.0,21.5,3.66,68.8,1,2126.2,8808.3,36.4,0.0,0.0,0.0,0.0,0.0,46.0,0.0,7.2,1771.85,0.0,1771.85,0.0,0.0,0.0,1771.85,0.0,true,1,1,3.6597513,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,2.5,0,121.424,99.85,5.044,1.061,22.39,24.271,400.363,0,0,213.515,13.719,,WHITEHORSE,YUKON,10.79,Attic/gable,11.25,2018-09-27,5.02,4.46,308.9,W,YT-1008,Two,SingleDetached,692.2,3.08,69.32,WHITEHORSE,5.5,1.5,0,0,0.9,0,0,5.8,0.358,0.365,0,0,0.374,0,0,0.354,18.71,2017,Zone 7b,Electricity,electricity,ERS-1022.H2K,sim-6.choices,project.json,General,HTAP-work-5,6,HTAP-sim-6,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,68.6,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,68.6,0,25.6,114.7,1.2,31872.1,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,6.6,6.1,2.8,0.0,2.5,0.0,0.0,99.9,43.0,11.9,99.9,6580,19.4,0.0,0.0,0.0,0.0,26.9,4.01,80.1,1,2007.2,12407.6,68.6,0.0,0.0,0.0,0.0,0.0,61.7,0.0,6.6,2446.52,0.0,2446.52,0.0,0.0,0.0,2446.52,0.0,true,1,1,4.0089929,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 4,2.5,73.39,95.226,0,3.485,0.511,23.969,24.627,316.397,0,0,157.547,11.543,,WHITEHORSE,YUKON,10.65,Attic/gable,8.95,2018-09-27,5.02,4.77,239.7,N,YT-1008,Two,Rowhouse-endunit,542.0,3.08,51.15,WHITEHORSE,1.4,3.4,0,0,6.7,0,0,0,0.37,0.394,0,0,0.385,0,0,0,14.13,2017,Zone 7b,Electricity,electricity,ERS-1024.H2K,sim-7.choices,project.json,General,HTAP-work-6,7,HTAP-sim-7,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,53.1,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,53.1,0,25.6,95.0,0.8,26381.6,0.0,0.0,0.0,0.0,0.9,26.0,10.0,1.3,4.3,0.0,1.9,6.0,2.7,0.0,0.0,88.3,32.1,9.0,88.3,6580,15.5,0.0,0.0,0.0,0.0,26.0,4.73,80.4,1,1521.0,9000.6,53.1,0.0,0.0,0.0,0.0,0.0,61.5,0.0,9.7,2061.09,0.0,2061.09,0.0,0.0,0.0,2061.09,0.0,true,1,1,4.727896599999999,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 5,2.5,89.93,89.93,0,3.485,0.511,23.969,8.248,212.164,0,0,78.837,7.695,,WHITEHORSE,YUKON,10.64,Attic/gable,8.45,2018-09-27,5.02,4.77,276.3,N,YT-1008,Two,Rowhouse-middleunit,615.7,3.08,25.59,WHITEHORSE,0,4.6,0,0,3.1,0,0,0,0,0.398,0,0,0.373,0,0,0,9.52,2017,Zone 7b,Electricity,electricity,ERS-1029.H2K,sim-8.choices,project.json,General,HTAP-work-7,8,HTAP-sim-8,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,35.5,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,35.5,0,25.6,77.7,1.0,21571.9,0.0,0.0,0.0,0.0,0.5,28.1,4.5,0.3,4.1,0.0,1.9,2.3,2.7,0.0,0.0,63.9,15.7,6.1,63.9,6580,15.5,0.0,0.0,0.0,0.0,28.1,4.67,52.3,1,1446.2,7060.2,35.5,0.0,0.0,0.0,0.0,0.0,35.7,0.0,4.4,1723.45,0.0,1723.45,0.0,0.0,0.0,1723.45,0.0,true,1,1,4.6654778,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 5,2.5,89.93,89.93,0,3.485,0.511,23.969,8.489,210.381,0,0,76.812,7.695,,WHITEHORSE,YUKON,10.64,Attic/gable,8.45,2018-09-27,5.02,4.77,276.3,N,YT-1008,Two,Rowhouse-middleunit,511.9,3.08,24.94,WHITEHORSE,0,4.6,0,0,3.1,0,0,0,0,0.398,0,0,0.373,0,0,0,9.52,2017,Zone 7b,Electricity,electricity,ERS-1032.H2K,sim-9.choices,project.json,General,HTAP-work-8,9,HTAP-sim-9,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,28.6,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,28.6,0,25.6,70.4,0.7,19549.6,0.0,0.0,0.0,0.0,0.5,20.8,4.2,0.3,4.1,0.0,1.9,1.6,2.7,0.0,0.0,55.9,15.3,6.1,55.9,6580,15.5,0.0,0.0,0.0,0.0,20.8,4.7,45.0,1,1290.1,7087.9,28.6,0.0,0.0,0.0,0.0,0.0,28.7,0.0,4.1,1581.48,0.0,1581.48,0.0,0.0,0.0,1581.48,0.0,true,1,1,4.7041788,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
Step 5,2.5,89.93,89.93,0,3.485,0.511,23.969,8.489,210.381,0,0,76.812,7.695,,WHITEHORSE,YUKON,10.64,Attic/gable,8.45,2018-09-27,5.02,4.77,276.3,N,YT-1008,Two,Rowhouse-middleunit,511.9,3.08,24.94,WHITEHORSE,0,4.6,0,0,3.1,0,0,0,0,0.398,0,0,0.373,0,0,0,9.52,2017,Zone 7b,Electricity,electricity,ERS-1033.H2K,sim-10.choices,project.json,General,HTAP-work-9,10,HTAP-sim-10,Details in JSON output,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,Details in JSON output,Details in JSON output,true,0.0,Opt-DBFiles=>H2KCodeLibFile;,true,ACH_NBC,NBC_Wall_zone7B_HRV,NBC_Ceiling_zone7B,NBC-Baseloads,NBC_CathCeiling_RSI5.02,NA,H2KCodeLibFile,NBC-HotWater_elec,none,NBC-zone7B-Doorwindow,NBC-zone7B-door,NBC_936_5.02RSI,NBC_FlatCeiling_RSI5.02,NBC_RSI3.08_int,{},{},{},{},rates2016,NA,NBC_BCIN_zone7B_HRV,NBC_SOnly_zone7B_HRV,NA,NBC-elec-heat,NA,General,NBC9_36,NA,NBC_Specs_Normal,NBC_Temps,NBC_HRV,Reference-9.36,NBC-zone7B-window,,,NA,YUKON,{},15.7,28.4,0.0,-41.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,28.4,0,25.6,70.2,0.6,19489.4,0.0,0.0,0.0,0.0,0.5,20.6,4.2,0.3,4.1,0.0,1.9,1.6,2.7,0.0,0.0,55.7,15.3,6.1,55.7,6580,15.5,0.0,0.0,0.0,0.0,20.6,4.65,44.8,1,1290.1,7248.4,28.4,0.0,0.0,0.0,0.0,0.0,28.6,0.0,4.1,1577.25,0.0,1577.25,0.0,0.0,0.0,1577.25,0.0,true,1,1,4.6523012999999995,1e364e974bcc9a8b78b228ed8d68c421,1e364e974bcc9a8b78b228ed8d68c421,Details in JSON output,Details in JSON output,,nil,true,Details in JSON output,
